id,division_id,identifier,alternate_identifier,position,abstract,organization,application_fee,processing_fee,date,decision,byte_size,number_of_pages,number_of_rows
149,ocd-division/country:ca/province:nl,EDU/4/2013,,4,Copies of any reports or assessments which outline the research undertaken to come to the conclusion that the collapsing of the 4 English School Boards into 1 was the most beneficial option for the education of children in the province.,Education,5.00,0.00,2013-07-26,nothing disclosed,210897,2,
518,ocd-division/country:ca/province:nl,TW/29/2013,,29,"All records, correspondence, emails, texts, IM's, work schedules, staff assignments, heavy equipment maintenance records, weather reports and road advisories re: the White Hills Depot, inc. all records re: to motor vehicle accidents Nov 29-Dec 1, 2012.",Transportation and Works,5.00,0.00,2013-07-29,disclosed in part,8899082,37,
407,ocd-division/country:ca/province:nl,AES/19/2013,,19,"A copy of the Avalon Regional Medical Transportation Policy. If there are other regional medical transportation policies, please also include these.",Advanced Education and Skills,5.00,0.00,2013-07-30,all disclosed,1495762,23,
544,ocd-division/country:ca/province:nl,AES/20/2013,,20,"Any and all correspondence of the Income Support Review Committee from October 1, 2012 to May 30, 2013.",Advanced Education and Skills,5.00,0.00,2013-07-30,nothing disclosed,409149,2,
497,ocd-division/country:ca/province:nl,FA/20/2013,,20,A list of aquaculture companies (with individual amounts) that received money through the DFA Aquaculture Capital Investment Program since its introduction in 2006?,Fisheries and Aquaculture,5.00,0.00,2013-07-30,all disclosed,1048456,2,
501,ocd-division/country:ca/province:nl,FA/21/2013,,21,A list of funding (amounts and focus) provided to the Newfoundland and Labrador Aquaculture Industry Association (NAIA) by year from 2003 to 2012.,Fisheries and Aquaculture,5.00,0.00,2013-07-30,all disclosed,1669686,3,
68,ocd-division/country:ca/province:nl,FA/24/2013,,24,The number (and amounts involved) of fish losses - including accidents - reported by fin-fish farmers in this province for the past 5 years since it is not readily available on a website as it is in the province of British Columbia?,Fisheries and Aquaculture,5.00,0.00,2013-07-30,all disclosed,863367,2,
122,ocd-division/country:ca/province:nl,FA/25/2013,,25,The outcomes of inspections of wild stocks near fish farms for chemical contamination and farm fish feed in-take - for the past 5 years.,Fisheries and Aquaculture,5.00,0.00,2013-07-30,nothing disclosed,527956,2,
1,ocd-division/country:ca/province:nl,TW/31/2013,,31,"Total number of vehicles registered, total number of mv collisions and total number of moose vehicle collisions for 1990 - 2012. Total number of injuries and fatalities and moose related injuries and fatalities for 1990-2012.",Transportation and Works,5.00,0.00,2013-08-02,all disclosed,1019073,2,
21,ocd-division/country:ca/province:nl,EDU/5/2013,,5,The K-12 Infrastructure allocation for Budget 2012 and Budget 2013.,Education,0.00,0.00,2013-08-05,nothing disclosed,140654,1,
16,ocd-division/country:ca/province:nl,JUS/10/2013,,10,The Family Violence Intervention Court internal assessment which was completed in 2012.,Justice,5.00,0.00,2013-08-05,nothing disclosed,102892,2,
519,ocd-division/country:ca/province:nl,NR/14/2013,,14,"All reports presented to the provincial government by The Independent Engineer, MWH Global Inc, as required by the Federal Loan Guarantee Term Sheet.",Natural Resources,5.00,0.00,2013-08-08,nothing disclosed,288721,2,
341,ocd-division/country:ca/province:nl,FA/19/2013,,19,How many individual farmed fish are in the waters at any given time in our province.,Fisheries and Aquaculture,5.00,0.00,2013-08-09,all disclosed,745917,1,
276,ocd-division/country:ca/province:nl,FA/23/2013,,23,"Information relating to the finding of ISA in our province for 2012 & 2013 that were deemed as a virus not known to cause disease. These occurred on May 29 (2), April 12 (2), 2013 & December 5th, 2012. Where these non-diseased farmed fish destroyed; and if so how many for each incident/site/company?",Fisheries and Aquaculture,5.00,0.00,2013-08-09,all disclosed,757970,1,
537,ocd-division/country:ca/province:nl,NR/11/2013,,11,"Any and all communications between the Department of Natural Resources and the Department of National Defense in relation to the May 25, 2012 forest fire that started in a wooded area near Canadian Forces base Goose Bay. Should include and documentation submitted regarding fire, including list of costs incurred by province associated with fire response.",Natural Resources,5.00,0.00,2013-08-12,disclosed in part,5715514,71,
27,ocd-division/country:ca/province:nl,EDU/6/2013,,6,"The most recent priority list(s) submitted by the schools boards to the Department, include estimated costs if available, for school infrastructure and repairs.",Education,5.00,0.00,2013-08-13,disclosed in part,1093270,16,
416,ocd-division/country:ca/province:nl,EDU/7/2013,,7,"Actual expenditures for FY 2012-13 for school infrastructure, including new schools, extensions, repairs and maintenance. Please breakdown by amount and project.",Education,5.00,0.00,2013-08-13,all disclosed,186327,16,
480,ocd-division/country:ca/province:nl,FA/18/2013,,18,"A copy of the research document where the department conducted an investigation into 40 different inland salmon farms - which the department says have all closed because they were not viable. This information should include name, locations and times of opening and closure.",Fisheries and Aquaculture,5.00,0.00,2013-08-13,nothing disclosed,603613,2,
452,ocd-division/country:ca/province:nl,LAO/2/2013,,2,"All expenses associated with Health Care Funding announcement at CMH on Monday, May 27th, 2013, including Minister McGrath, Minister Sullivan, CEO Tony Wakeham and all associated staff travel and set-up.",Labrador Affairs Office,0.00,0.00,2013-08-13,all disclosed,508594,3,
274,ocd-division/country:ca/province:nl,TCR/4/2013,,4,"Information relating to the definition of industry stakeholder, member lists of industry stakeholders and tourism operators, and whether they are shared with Tourism Canada. Also, information relating to the process involved in notifying Industry Stakeholders and/or Tourism Operators as to land use management issues, and other activities, such as mining, that are taking place in their area(s).","Tourism, Culture and Recreation",5.00,0.00,2013-08-13,all disclosed,270862,2,
456,ocd-division/country:ca/province:nl,AES/14/2013,,14,All information the Department has on the finances of the Bell Island ABE program. Any and all information the Department passed to the RNC for its investigation MHA David Brazil's role in accounting irregularities of the Bell Island ABE program's.,Advanced Education and Skills,5.00,0.00,2013-08-14,disclosed in part,11576904,269,
517,ocd-division/country:ca/province:nl,TW/30/2013,,30,"All records, correspondence, emails, contracts, permits, licenses, briefing notes, reports, invoices, staff schedules or records of telephone calls relating to the use of the White Hills Highway Depot by Republic of Doyle in Nov 2012.",Transportation and Works,5.00,0.00,2013-08-14,disclosed in part,8065094,63,
394,ocd-division/country:ca/province:nl,ENV/17/2013,,17,"A copy of any and all applications, documents, correspondence, and emails related to the Town of Upper Island Cove Crown Land application accepted September, 24, 2012, found on map #01N1-410.",Environment and Conservation,5.00,0.00,2013-08-16,disclosed in part,7696166,84,
291,ocd-division/country:ca/province:nl,TW/32/2013,,32,"Itemized list of expenditures on moose-detection systems installed at 2 locations on the TCH. Request includes FY2011-12 to the present. Please break down by expenditures, date, payee, and reason for payment.",Transportation and Works,5.00,0.00,2013-08-16,all disclosed,913735,7,
386,ocd-division/country:ca/province:nl,TW/33/2013,,33,A breakdown of the number of days the moose-detection system at (a) Grand Falls-Windsor Area (b) Salmonier Line Area has been in-service and out of service. Please list dates.,Transportation and Works,5.00,0.00,2013-08-16,all disclosed,4373368,2,
300,ocd-division/country:ca/province:nl,ENV/19/2013,,19,"List of court representation made in connection with the Quieting of Titles for 50 years, in the Supreme Court of Newfoundland and Labrador Trial Division and court of appeal. Period: 1950-2000.",Environment and Conservation,5.00,0.00,2013-08-19,all disclosed,717270,2,
453,ocd-division/country:ca/province:nl,HCS/18/2013,,18,"All expenses associated with Health Care Funding announcement at Curtis Memorial Hospital on Monday, May 27th, 2013, including Minister McGrath, Minister Sullivan, CEO Tony Wakeham and all associated staff travel and set-up costs.",Health and Community Services,5.00,0.00,2013-08-19,all disclosed,290786,3,
130,ocd-division/country:ca/province:nl,MPA/8/2013,,8,"The report referenced in the attached news story. On June 12, 2012, Minister O’Brien said in the legislature “as soon as that report is in full form, I will be glad to share it with you.”",Municipal Affairs,5.00,0.00,2013-08-19,nothing disclosed,1744458,2,
406,ocd-division/country:ca/province:nl,IBRD/4/2013,,4,A copy of the agreement signed with Icewater Harvesting Ltd. when the provincial government provided financial support of $2 million in April 2013 for the operation of the fishing vessel the Cape Dorset.,"Innovation, Business and Rural Development",5.00,0.00,2013-08-21,disclosed in part,4183231,24,
312,ocd-division/country:ca/province:nl,ENV/18/2013,,18,"Period: 2006-2009. Surveys, maps, communications with cabin/fishing shack owners re buildings located on shoreline reserve in the Point au Mal, NL general area, specifically in the area depicted on the attached Crown Lands Division map.",Environment and Conservation,5.00,0.00,2013-08-22,nothing disclosed,88795,2,
428,ocd-division/country:ca/province:nl,AES/22/2013,,22,"All correspondance between the Department of Advanced Education and Skills head office in St. John's and the Advanced Education and Skills Offices in Clarenville between March 1 - June 28, 2013",Advanced Education and Skills,5.00,0.00,2013-08-23,disclosed in part,9172917,46,
473,ocd-division/country:ca/province:nl,FA/22/2013,,22,"A copy of the outcome of the 2012 research survey funded under the Fisheries Research Grant Program. ""A survey in Connaigre Bay to investigate interactions between aquaculture sites and lobster and snow crab fisheries in the area, carried out by DFO in partnerships with the FFAW, Cold Ocean Salmon and DFA.""",Fisheries and Aquaculture,5.00,0.00,2013-08-23,disclosed in part,2136145,5,
89,ocd-division/country:ca/province:nl,PRE/10/2013,,10,Records/Information that the NL government used or obtained to justify proposed expenditure and to substantiate their opinion that the MRSC St. John's provided a better level of service than the service that would be provided by JRCC Halifax.,Premier's Office,5.00,0.00,2013-08-23,disclosed in part,2003923,19,
432,ocd-division/country:ca/province:nl,PRE/11/2013,,11,"All correspondence from the public to the Premier - letters, emails and telephone logs - regarding Bill 29",Premier's Office,5.00,0.00,2013-08-23,disclosed in part,6739323,74,
43,ocd-division/country:ca/province:nl,PRE/9/2013,,9,Information relating to CETA negotiations between the NL government and federal government concerning search and rescue.,Premier's Office,5.00,0.00,2013-08-23,nothing disclosed,191965,2,
206,ocd-division/country:ca/province:nl,ENV/20/2013,,20,"Exact copies of the records which were released pursuant to the following previous ATI requests ENV/10/2013, ENV/7/2013, ENV/9/2013",Environment and Conservation,0.00,0.00,2013-08-26,nothing disclosed,54746,1,
204,ocd-division/country:ca/province:nl,NR/16/2013,,16,Exact copies of the records which were released pursuant to previous ATI request NR/6/2013.,Natural Resources,0.00,0.00,2013-08-28,nothing disclosed,359872,1,
97,ocd-division/country:ca/province:nl,MPA/9/2013,,9,Report and recommendations of the Public Hearing into a proposed amendment to the Protected Roads Zoning Plan for Route 10.,Municipal Affairs,5.00,0.00,2013-08-29,disclosed in part,14055250,121,
205,ocd-division/country:ca/province:nl,TCR/5/2013,,5,Exact copies of the records which were released pursuant to the following ATI requests: TCR/5/2012 and TCR/6/2012.,"Tourism, Culture and Recreation",0.00,0.00,2013-08-29,nothing disclosed,68620,1,
157,ocd-division/country:ca/province:nl,FIN/14/2013,,14,"Copies of the record listing the unclaimed cheques (i.e. cheques issued and not cashed after a period of time of 6 or 12 months) drawn for all the province of Newfoundland & Labrador departments and agencies between April 1, 2010 and December 31st, 2012 and still outstanding on August 1st, 2013.",Finance,5.00,0.00,2013-08-30,all disclosed,608794,2,
498,ocd-division/country:ca/province:nl,AES/24/2013,,24,"A list of each Job Creation Partnership (JCP) funded in the first round for 2013/14 indicating the organization awarded the JCP, the community in which the organization is located, the amount of funding per organization, as well as a project description.",Advanced Education and Skills,5.00,0.00,2013-09-03,all disclosed,2506874,15,
485,ocd-division/country:ca/province:nl,FA/27/2013,,27,Information on whether or not the 55 aquaculture sites that are identified in a response from DFA (File FA/16/2013) as being unstocked have been abandoned (or what percentage has been abandoned); and how many of these are intended for reopening?,Fisheries and Aquaculture,5.00,0.00,2013-09-03,all disclosed,593131,2,
415,ocd-division/country:ca/province:nl,TW/35/2013,,35,Access to minutes that happened Nov 10/09 at Marco Services Board Room for project #F9240203.2000 Paradise School.,Transportation and Works,5.00,0.00,2013-09-03,disclosed in part,1146210,5,
153,ocd-division/country:ca/province:nl,AES/21/2013,,21,Copies of reports that have resulted from site visits to all private and community-group offerings of Adult Basic Education for the last 2 years.,Advanced Education and Skills,5.00,0.00,2013-09-09,disclosed in part,5147701,36,
550,ocd-division/country:ca/province:nl,FA/26/2013,,26,A list of the Aquaculture developers that have filed rehabilitation and close plans as well as posted financial assurances for site liabilities prior to starting operations in the past 5 years.,Fisheries and Aquaculture,5.00,0.00,2013-09-09,all disclosed,634509,3,
454,ocd-division/country:ca/province:nl,NR/19/2013,,19,"All GSI data relating to planning, placing lines, conducting seismic surveys offshore Labrador 2010-2013, relating to TGS, TGS NOPEC, PGS, Petroleum Geo Services, Multi Klient Invest.",Natural Resources,5.00,0.00,2013-09-09,nothing disclosed,484351,4,
141,ocd-division/country:ca/province:nl,TW/36/2013,,36,Total cost of the refit of the MV Beaumont Hamel during 2013. This report should also include a detailed report as to what work was completed on board.,Transportation and Works,5.00,0.00,2013-09-09,all disclosed,191120,3,
429,ocd-division/country:ca/province:nl,MPA/7/2013,,7,"All correspondence between the department and Ocean Choice International regarding that company's outstanding Industrial Water bill (listed in Estimates as $714, 300) and the department's pursuit or negotatiation of, payment.",Municipal Affairs,5.00,0.00,2013-09-10,nothing disclosed,2162438,2,
316,ocd-division/country:ca/province:nl,HRS/2/2013,,2,Please provide documentation on the number of sick days accrued for each department for 2012-2013. Please distinguish between in-scope and out of scope. Please include overall totals and the cost of such leave.,Human Resource Secretariat,5.00,0.00,2013-09-18,all disclosed,336798,2,
180,ocd-division/country:ca/province:nl,TW/34/2013,,34,"Correspondence, in any and all formats, between the department and Safeguards Technology re: the moose-detection systems on the Trans-Canada Highway. Date range July 1, 2011, to the present.",Transportation and Works,5.00,0.00,2013-09-18,disclosed in part,3046583,27,
358,ocd-division/country:ca/province:nl,TW/38/2013,,38,Information from 1952-1960 relating to a gravel pit on Holyrood Ridge Road in Chapel's Cove.,Transportation and Works,5.00,0.00,2013-09-18,nothing disclosed,154245,2,
399,ocd-division/country:ca/province:nl,TW/21/2013,,21,"A copy of any and all Hatch Mott McDonald reports completed for the new regional health care facility in Corner Brook, NL.",Transportation and Works,5.00,0.00,2013-09-20,disclosed in part,206386,3,
446,ocd-division/country:ca/province:nl,TW/37/2013,,37,"All emails to and from Don Brennan, Supervisor, Torbay from November 15/12 to December 15, 2012 referring to the Republic of Doyle film shoot at the White Hills Depot, and all emails to and from Don Brennan regarding the operations of the White Hills Depot on November 29, 30 and December 1, 2012.",Transportation and Works,5.00,0.00,2013-09-20,disclosed in part,1464633,10,
71,ocd-division/country:ca/province:nl,AES/25/2013,,25,"The number of income support calls to income support, number of answered calls and also the percent of calls answered to income support on a monthly basis from jan 01/12 until aug 01/13",Advanced Education and Skills,5.00,0.00,2013-09-26,all disclosed,162291,2,
20,ocd-division/country:ca/province:nl,JUS/14/2013,,14,"The incident report on the institutional disturbance which took place in Her Majesty's Penitentiary on Aug. 5-6, 2013.",Justice,5.00,0.00,2013-09-30,nothing disclosed,91727,1,
234,ocd-division/country:ca/province:nl,TCR/3/2013,,3,"Any and all information with regards to the printed material, input and development process of the 2011/12 Guides to Hunting and Angling Outfitters, as well as the 2013/14 Guides to Hunting and Angling. ","Tourism, Culture and Recreation",5.00,35.00,2013-09-30,disclosed in part,4383078,72,
417,ocd-division/country:ca/province:nl,ENV/21/2013,,21,All application and file information relating to a Crown Land Application in Flatrock.,Environment and Conservation,5.00,0.00,2013-10-02,disclosed in part,8878604,61,
202,ocd-division/country:ca/province:nl,ENV/24/2013,,24,"Environmental orders, spills, spills on adjacent sites, properties, discharge orders, underground storage tanks, tank removal orders, and reports, fill materials and landfills relating to 2 Hill O'Chips.",Environment and Conservation,5.00,0.00,2013-10-02,nothing disclosed,730276,2,
239,ocd-division/country:ca/province:nl,NR/15/2013,,15,"Any and all written communications between the provincial Minister of Natural Resources and the Canada-Newfoundland and Labrador Offshore Petroleum Board for the period Jan. 1, 2013 to June 30, 2013.",Natural Resources,5.00,0.00,2013-10-04,disclosed in part,2064536,32,
306,ocd-division/country:ca/province:nl,NR/20/2013,,20,"Number of black bear killed, and or, trapped and relocated on the island of Newfoundland by DNR or outside contractor for the period of Aug 1, 2012 until Aug 22, 2013.",Natural Resources,5.00,0.00,2013-10-04,all disclosed,137779,1,
368,ocd-division/country:ca/province:nl,SNL/13/2013,,13,Information related to the Life License Qualification Program.,Service NL,5.00,0.00,2013-10-04,all disclosed,686258,4,
346,ocd-division/country:ca/province:nl,HCS/19/2013,,19,"I would like the yearly billings of Dr. Louis Bourget to the department of health. I would like those billings to include all pay, flights, housing and incidentals charged. I am looking for billings charged per fiscal year within the timeline of January 1, 2008 to the present.",Health and Community Services,0.00,0.00,2013-10-07,all disclosed,287151,7,
433,ocd-division/country:ca/province:nl,EDU/8/2013,,8,All correspondence records between the Department of Education and Deloitte regarding the Evaluation of School Transportation in Newfoundland and Labrador resulting in the GNL Student Transportation considerations Reports since the contract was awarded.,Education,5.00,0.00,2013-10-11,all disclosed,3621035,20,
25,ocd-division/country:ca/province:nl,AES/26/2013,,26,"The Minister of Advanced Education and Skills stated in a letter to the editor this year that “the annual graduation rate for 2011-12 for ABE at private training institutions is approximately 42 percent and at College of the North Atlantic it is about 21 percent.” 

Can you explain how graduation rates were calculated? Were these rates just for the most recent school year, or were they calculated over a number of years? Kindly demonstrate how these rates were calculated, providing a breakdown of the numbers and reason students did not graduate (for example – identifying those who dropped out versus those who failed the program). ",Advanced Education and Skills,5.00,0.00,2013-10-16,all disclosed,400417,2,
457,ocd-division/country:ca/province:nl,PRE/12/2013,,12,All internal correspondence records to or from the Office of the Premier regarding Bill 29 An Act to Amend the Access to Information and Protection of Privacy Act.,Premier's Office,5.00,0.00,2013-10-17,disclosed in part,8192459,138,
389,ocd-division/country:ca/province:nl,ENV/22/2013,,22,"A copy level 1 groundwater supply assessment residential subdivision, Bauline Line, Torbay NL. This relates to Torbay municipal plan amendment #19 and development regulation #38.",Environment and Conservation,5.00,0.00,2013-10-18,disclosed in part,138300,3,
435,ocd-division/country:ca/province:nl,TW/42/2013,,42,"All costs associated with renovations and upgrades to the 4th floor of the Confederation Building since 2012 with respect to the Premier’s move to the 4th floor. This request would include an itemized list of furniture purchases, upgrades, renovation work, overtime and other related expenses.",Transportation and Works,5.00,0.00,2013-10-18,all disclosed,1944442,2,
13,ocd-division/country:ca/province:nl,TW/43/2013,,43,The current cost of the renovations to the exterior of the Confederation Building and the most current budget for completion.,Transportation and Works,5.00,0.00,2013-10-18,all disclosed,771917,1,
65,ocd-division/country:ca/province:nl,EC/7/2013,,7,"The names, salaries and positions of all government appointees to boards and agencies since December 2010 to present.",Executive Council,5.00,0.00,2013-10-21,all disclosed,463228,111,
511,ocd-division/country:ca/province:nl,EDU/9/2013,,9,"All records of Emergency Supply Licenses (as defined by the Teacher Certification Regulations under the Teacher Training Act) granted from January 1, 2008 to the date of receipt of request.",Education,5.00,0.00,2013-10-21,all disclosed,1743464,9,
489,ocd-division/country:ca/province:nl,HRS/4/2013,,4,"A detailed breakdown of the number of permanent, temporary and other employees currently working within each government department and a comparison of the same to August 2012.",Human Resource Secretariat,5.00,0.00,2013-10-21,all disclosed,151811,2,
532,ocd-division/country:ca/province:nl,NR/17/2013,,17,"An itemized list of expenses please for all departments and premier's office staff on the recent trade mission to China in June 2013, including flights, accommodations, meeting space, meals, gifts, incidentals and any other related expense claims.",Natural Resources,5.00,100.00,2013-10-21,all disclosed,1340794,3,
138,ocd-division/country:ca/province:nl,NR/18/2013,,18,"The total number of government-funded participants with the Government of Newfoundland and Labrador-led June 2013 mission to China. Also a listing of any and all costs associated with the trip, including copies of any and all available receipts for food, transportation and accommodations.",Natural Resources,5.00,375.00,2013-10-21,disclosed in part,18817013,304,
347,ocd-division/country:ca/province:nl,OCIO/3/2013,,3,IM Horizontal Review,Office of the Chief Information Officer,5.00,0.00,2013-10-21,all disclosed,2217446,200,
34,ocd-division/country:ca/province:nl,IBRD/5/2013,,5,"Information pertaining to any and all monies and/or funding provided to J. Hudson or Lake Melville Aviation, and/or Torngat Wilderness Adventures.","Innovation, Business and Rural Development",5.00,0.00,2013-10-25,disclosed in part,8198022,47,
289,ocd-division/country:ca/province:nl,SNL/12/2013,,12,Input which was provided as a result of consultations into unlocking of Pension Funds in September 2009.,Service NL,5.00,0.00,2013-10-28,disclosed in part,8733326,191,
307,ocd-division/country:ca/province:nl,SNL/14/2013,,14,OHS documentation in relation to the death of a worker at Voisey's Bay Mine site in January 2005.,Service NL,5.00,0.00,2013-10-28,disclosed in part,157971,3,
545,ocd-division/country:ca/province:nl,EDU/10/2013,,10,St. George's Schools 2013 Amount of Contract for windows and any amounts of changes to original contract.,Education,0.00,0.00,2013-10-29,all disclosed,139619,1,
162,ocd-division/country:ca/province:nl,MPA/10/2013,,10,"Copy of letter from Municipal Affairs dated June 7, 2013 relating to a draft plan submitted in relation to the Urban and Rural Planning Act.",Municipal Affairs,5.00,0.00,2013-10-30,disclosed in part,646858,4,
495,ocd-division/country:ca/province:nl,JUS/16/2013,,16,A list of all reference cases (including names and legal citations) that the Province has referred to the Newfoundland and Labrador Court of Appeal under its statutory power in the Judicature Act 1990 c J-4,Justice,5.00,0.00,2013-11-05,nothing disclosed,144834,3,
322,ocd-division/country:ca/province:nl,IBRD/6/2013,,6,Records of funding related to Cain's Quest and/or Cain's Quest Snowmobile Endurance Race.,"Innovation, Business and Rural Development",5.00,0.00,2013-11-12,disclosed in part,11506974,98,
224,ocd-division/country:ca/province:nl,NR/21/2013,,21,"Any and all expense reports, briefing notes and correspondence in regards to the trip to Yellowknife made by Natural Resources Minister Tom Marshall and other department staff for the 2013 Energy and Mining Ministers' Conference, which took place August 24 to 27, 2013.",Natural Resources,5.00,0.00,2013-11-12,all disclosed,2115055,27,
30,ocd-division/country:ca/province:nl,AES/27/2013,,27,"The amount spent on extermination and fumigation services in FY10-11, FY 11-12, FY12-13 and FY13-14 (to date) for cases of bed bugs in accordance with the Income and Employment Support Policy and Procedure manual Ch. 9: Special Needs and Benefits (xi) other special needs.",Advanced Education and Skills,5.00,0.00,2013-11-15,all disclosed,589480,1,
422,ocd-division/country:ca/province:nl,FIN/16/2013,,16,"All briefing notes, information notes, briefs, etc. completed on Muskrat Falls since April 2013.",Finance,5.00,0.00,2013-11-15,disclosed in part,2296784,12,
494,ocd-division/country:ca/province:nl,EC/8/2013,,8,A list of all communications contracts from April 2011 to present.,Executive Council,5.00,0.00,2013-11-18,nothing disclosed,185970,2,
199,ocd-division/country:ca/province:nl,EDU/11/2013,,11,"Electronic dataset of all of your employees, their positions and their salary classifications.",Education,5.00,0.00,2013-11-18,all disclosed,694902,4,
7,ocd-division/country:ca/province:nl,FA/29/2013,,29,"Whether or not farmed salmon in our province is tested for banned chemicals or any other dangerous toxins? If so, what are the results.",Fisheries and Aquaculture,5.00,0.00,2013-11-18,nothing disclosed,405303,2,
460,ocd-division/country:ca/province:nl,TW/44/2013,,44,All permits granted to companies involved in the installation of culverts under Route 450 Frenchman's Cove in the Bay of Islands.,Transportation and Works,5.00,0.00,2013-11-18,disclosed in part,1260212,9,
421,ocd-division/country:ca/province:nl,JUS/13/2013,,13,"All briefing notes, information notes, briefs, etc. completed on Muskrat Falls since April 2013.",Justice,5.00,0.00,2013-11-19,nothing disclosed,142397,2,
137,ocd-division/country:ca/province:nl,EC/6/2013,,6,"The total cost paid to media in the following years: 2010, 2011, 2012 and 2013.",Executive Council,5.00,0.00,2013-11-20,all disclosed,284677,2,
54,ocd-division/country:ca/province:nl,ENV/25/2013,,25,Information relating to land sales in Brigus Junction.,Environment and Conservation,5.00,0.00,2013-11-20,disclosed in part,1070361,10,
248,ocd-division/country:ca/province:nl,ENV/27/2013,,27,"Any information pertaining to environmental issues, spills, spills to adjacent sites, underground/above ground tanks, tank registration, general environmental condition of former gas station site, southwest corner of Pennywell Road and Cashin Avenue, St. John's, NL.",Environment and Conservation,5.00,0.00,2013-11-20,disclosed in part,1000966,8,
111,ocd-division/country:ca/province:nl,TW/39/2013,,39,The amount of money paid out for removal and trenching of quantities of rock from project F9240203.2000 Paradise School.,Transportation and Works,5.00,0.00,2013-11-22,disclosed in part,213927,2,
40,ocd-division/country:ca/province:nl,ENV/26/2013,,26,Information relating to an application for title in Brigus Junction.,Environment and Conservation,5.00,0.00,2013-11-26,nothing disclosed,120344,2,
172,ocd-division/country:ca/province:nl,FA/28/2013,,28,"Copy of the review prepared for the provincial government by Burke Consulting Inc. on a review of the minimum processing requirements - as noted in a press release from DFA dated Sept. 13, 2006.",Fisheries and Aquaculture,5.00,0.00,2013-11-26,disclosed in part,320662,4,
201,ocd-division/country:ca/province:nl,MPA/11/2013,,11,"Email letter of May 13, 2013 sent to Corrie Davis with five (5) questions.",Municipal Affairs,5.00,0.00,2013-11-26,disclosed in part,1420156,10,
463,ocd-division/country:ca/province:nl,ENV/28/2013,,28,"A copy of the contract that organizers of Mud Immortal signed with government in order to hold the adventure challenge in Butter Pot Park on Saturday, September 21, 2013.",Environment and Conservation,5.00,0.00,2013-11-27,nothing disclosed,80139,2,
525,ocd-division/country:ca/province:nl,SNL/17/2013,,17,An individual's Catering License & Health Certificate used for the Catering Contract for the 2013 Provincial Summer Games.,Service NL,5.00,0.00,2013-11-27,disclosed in part,281353,3,
515,ocd-division/country:ca/province:nl,AES/28/2013,,28,"All records relating to the CBC News requests about bed bugs on Hamilton Ave. between Sept.23-Oct.8, 2013.",Advanced Education and Skills,5.00,0.00,2013-11-28,disclosed in part,2506713,29,
516,ocd-division/country:ca/province:nl,SNL/16/2013,,16,"All records relating to the CBC News requests about bed bugs on Hamilton Ave. between Sept.23-Oct.8, 2013.",Service NL,5.00,0.00,2013-11-28,disclosed in part,3765662,49,
88,ocd-division/country:ca/province:nl,HRS/5/2013,,5,Records relating to the Information Management Horizontal Review.,Human Resource Secretariat,5.00,0.00,2013-12-02,disclosed in part,35097042,243,
198,ocd-division/country:ca/province:nl,HRS/6/2013,,6,"Electronic dataset of all Department of Justice employees, their positions and their salary classifications. You can release the data in any machine-readable format, such as plain text, XLSX, Microsoft Access dbf or accdb, XML, etc. No image files or pdfs please",Human Resource Secretariat,5.00,0.00,2013-12-02,all disclosed,375818,28,
339,ocd-division/country:ca/province:nl,JUS/17/2013,,17,Hourly rate Brian Casey and other lawyers from Nova Scotia charge to prosecute in the Philip Pynn/ Nick Winsor case.,Justice,5.00,0.00,2013-12-02,nothing disclosed,131437,2,
116,ocd-division/country:ca/province:nl,NR/22/2013,,22,The amount of timber resources (in cubic metres) requested by the proponent of the proposed pellet plant in central Newfoundland.,Natural Resources,5.00,0.00,2013-12-03,nothing disclosed,403826,2,
125,ocd-division/country:ca/province:nl,EDU/13/2013,,13,The package of briefing materials prepared for your minister when he/she resumed his/her post.,Education,5.00,0.00,2013-12-05,nothing disclosed,202035,2,
200,ocd-division/country:ca/province:nl,TW/48/2013,,48,"Electronic dataset of all your employees, their positions and their salary classifications. You can release the data in any machine-readable format, such as plain text, XLSX, Microsoft Access dbf or accdb, XML, etc. No image files or pdfs please",Transportation and Works,5.00,0.00,2013-12-09,all disclosed,1588330,118,
451,ocd-division/country:ca/province:nl,TW/49/2013,,49,"All expense claims for the deputy minister's out-of-province trips in 2013. If expense claims are not required, receipts or credit card records can be substituted.",Transportation and Works,5.00,0.00,2013-12-09,all disclosed,7495969,13,
249,ocd-division/country:ca/province:nl,PRE/15/2013,,15,"Any itineraries, original and amended versions for Premier Kathy Dunderdale related to her October 2013 trip to Brazil. Request includes any associated travel authorization form(s).",Premier's Office,5.00,0.00,2013-12-10,disclosed in part,984306,26,
124,ocd-division/country:ca/province:nl,TW/50/2013,,50,The package of briefing materials prepared for your minister when he/she assumed his/her post.,Transportation and Works,5.00,0.00,2013-12-10,nothing disclosed,405772,2,
134,ocd-division/country:ca/province:nl,IBRD/8/2013,,8,"The text of the agreement with the Federal Government that led to the creation of the $400-Million Fishery Fund announced on Oct 29, 2013. Request includes records in any and all formats, including paper and electronic, plus supporting documentation.","Innovation, Business and Rural Development",0.00,0.00,2013-12-12,nothing disclosed,513438,1,
450,ocd-division/country:ca/province:nl,EDU/14/2013,,14,All expense claims for the Deputy Minister's out-of-province trips in 2013.,Education,5.00,0.00,2013-12-13,all disclosed,1947546,11,
