division_id,identifier,position,classification,applicant_type,abstract,decision
ocd-division/country:ca/cd:3530,95039,39,personal,public,"All records regarding {name removed}, specifically attendance at Home Child Care provider and behaviour.",disclosed in part
ocd-division/country:ca/cd:3530,95040,40,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,95041,41,general,public,Interview scoring records from Competitions 95-343 and 95-391.,disclosed in part
ocd-division/country:ca/cd:3530,95042,42,personal,public,Interview scoring records for {name removed} from Competitions 95-343 and 95-391.,all disclosed
ocd-division/country:ca/cd:3530,95043,43,general,public,"Names, titles and professional addresses of Region of Waterloo management staff.",abandoned
ocd-division/country:ca/cd:3530,95044,44,general,public,Benzene contamination of groundwater in Bamberg.,disclosed in part
ocd-division/country:ca/cd:3530,95045,45,personal,public,Information regarding complaints of co-residency in FBA client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,95046,46,general,public,"Names, titles and professional addresses of management staff at Sunnyside Home.",abandoned
ocd-division/country:ca/cd:3530,95047,47,general,business,List of companies paying a sewer surcharge including address and name of contact person.,all disclosed
ocd-division/country:ca/cd:3530,95048,48,personal,public,Records regarding sick leave of absence while in employment with the Waterloo Regional Police Service.,disclosed in part
ocd-division/country:ca/cd:3530,95049,49,general,public,Names and addresses of home-based food premises in Cambridge from 1992 to 1995.,all disclosed
ocd-division/country:ca/cd:3530,95050,50,personal,public,Complaints about {name removed} during service as Parental Support Worker.,nothing disclosed
ocd-division/country:ca/cd:3530,95051,51,general,public,"Criteria for assessing interpersonal skills and training, skills and qualifications of supervisors who assess interpersonal skills in staff.",disclosed in part
ocd-division/country:ca/cd:3530,95052,52,personal,public,Income Maintenance client file for {name removed} regarding SARB appeal.,all disclosed
ocd-division/country:ca/cd:3530,95053,53,personal,public,Information regarding GWA assistance amounts for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,96001,1,general,public,Scores of other candidates in Competition 95-446.,disclosed in part
ocd-division/country:ca/cd:3530,96002,2,personal,public,Score for {name removed} in Competition 95-446.,all disclosed
ocd-division/country:ca/cd:3530,96003,3,general,business,Identity of complainant regarding Public Health inspection on 1995/10/19.,nothing disclosed
ocd-division/country:ca/cd:3530,96004,4,general,public,GWA regulations pertaining to {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,96005,5,personal,public,"Documentation regarding {name removed} GWA status, entitlement, and deductions.",all disclosed
ocd-division/country:ca/cd:3530,96006,6,general,public,Information regarding benzene contamination in Bamberg.,disclosed in part
ocd-division/country:ca/cd:3530,96007,7,general,public,General information on Vocational Rehabilitation Act and appeals.,all disclosed
ocd-division/country:ca/cd:3530,96008,8,general,public,Information concerning decision to deny vocational rehabilitation benefits for {name removed},all disclosed
ocd-division/country:ca/cd:3530,96009,9,personal,public,Deletion of references to interpersonal skills.,correction
ocd-division/country:ca/cd:3530,96010,10,personal,public,All information about {name removed} held by Social Services.,all disclosed
ocd-division/country:ca/cd:3530,96011,11,personal,public,"Scores, notes and information regarding {name removed} bumping assessment interview on 96/2/27.",disclosed in part
ocd-division/country:ca/cd:3530,96012,12,general,public,Sewer surcharge information by company.,disclosed in part
ocd-division/country:ca/cd:3530,96013,13,personal,public,Notes regarding contact between Ministry of Solicitor General and Regional Chair about {name removed} application to Police Services Board.,nothing disclosed
ocd-division/country:ca/cd:3530,96014,14,personal,public,Home Child Care Provider file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,96015,15,personal,public,Records indicating {name removed} residence from 1991 to May 1992; copy of cheque; consent pay-direct to landlord; application for assistance from October 1994.,all disclosed
ocd-division/country:ca/cd:3530,96016,16,general,business,Report by Senior Staff to Councillors/Review Committee on Governance.,abandoned
ocd-division/country:ca/cd:3530,96017,17,general,public,List of restaurants inspected by Healthy Environments.,all disclosed
ocd-division/country:ca/cd:3530,96018,18,personal,public,Declaration sworn by {name removed} and allegations against her regarding GWA.,disclosed in part
ocd-division/country:ca/cd:3530,96019,19,personal,public,All personal information held by Income Maintenance on {name removed}.,abandoned
ocd-division/country:ca/cd:3530,96020,20,personal,public,All personal information held by Income Maintenance on {name removed}.,abandoned
ocd-division/country:ca/cd:3530,96021,21,general,public,"Interview questions, answers and practical test regarding Intake Assessment Assistant competition.",nothing disclosed
ocd-division/country:ca/cd:3530,96022,22,personal,public,Reference and Personal Information for {name removed} regarding Intake Assessment Assistant competition.,disclosed in part
ocd-division/country:ca/cd:3530,96023,23,general,public,Scores of other candidates and records pertaining to the screening and interview process for Competition 96-104/105.,disclosed in part
ocd-division/country:ca/cd:3530,96024,24,personal,public,Scores and comments for {name removed} regarding Competition 96-104/105.,disclosed in part
ocd-division/country:ca/cd:3530,96025,25,general,media,All records regarding the Family Awareness Centre or its four programs including Parents Are People Too.,all disclosed
ocd-division/country:ca/cd:3530,96026,26,personal,public,"Copies of two welfare cheques from October 28, 1992 and May 8, 1996.",all disclosed
ocd-division/country:ca/cd:3530,97001,1,personal,public,Information in Income Maintenance file for {name removed} regarding social assistance reduction because of job termination.,all disclosed
ocd-division/country:ca/cd:3530,97002,2,general,business,"Copies of food-borne illness complaint reports regarding {location removed}, Cambridge between January 8 and 21, 1997.",nothing disclosed
ocd-division/country:ca/cd:3530,97003,3,general,public,Records regarding workplace harassment investigation.,nothing disclosed
ocd-division/country:ca/cd:3530,97004,4,personal,public,Personal information regarding workplace harassment investigation.,nothing disclosed
ocd-division/country:ca/cd:3530,97005,5,personal,public,Records in FBA file from 1983 in Ottawa; 1986 to1989 in Cambridge.,abandoned
ocd-division/country:ca/cd:3530,97006,6,personal,public,Records in Human Resources regarding date of seniority.,all disclosed
ocd-division/country:ca/cd:3530,97007,7,personal,public,A complete copy of Income Maintenance client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,97008,8,general,business,7 information items regarding construction contract at Pinebush and Turnbull water treatment plants in 1996.,all disclosed
ocd-division/country:ca/cd:3530,97009,9,general,business,Information on any civil suits initiated on projects involving 3 Design & Construction staff members.,all disclosed
ocd-division/country:ca/cd:3530,97010,10,general,media,Details of payouts to {name removed} on retirement.,abandoned
ocd-division/country:ca/cd:3530,97011,11,general,media,"Amounts paid for severances, retirements and voluntary exits for the last 3 years.",abandoned
ocd-division/country:ca/cd:3530,97012,12,general,business,Complainant identity and Public Health inspection records regarding 2 complaints at {location removed}.,disclosed in part
ocd-division/country:ca/cd:3530,97013,13,personal,public,Various Personal Information Banks held by the federal government.,abandoned
ocd-division/country:ca/cd:3530,97014,14,general,business,"All records related to {company name removed} in relation to its work on the Shades Mill Water Treatment Plant, as well as professional references compiled during the review of the winning tender.",disclosed in part
ocd-division/country:ca/cd:3530,97015,15,personal,public,Form 4 medical assessment and last 6 months of GWA file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,97016,16,general,business,Ten schedules from service agreement for operation of Region's wastewater treatment plants.,abandoned
ocd-division/country:ca/cd:3530,97017,17,personal,public,A complete copy of GWA client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,98001,1,personal,public,"GWA file, specifically agreements, cheques and monetary income statements regarding ""court order.""",all disclosed
ocd-division/country:ca/cd:3530,98002,2,general,public,Records related to construction on {company name removed} site in 1996 and 1997.,disclosed in part
ocd-division/country:ca/cd:3530,98003,3,general,business,"Information regarding damage to Regional facilities from a severe storm on May 20, 1996.",disclosed in part
ocd-division/country:ca/cd:3530,98004,4,general,public,"Identity of the Sunnyside Home employee who witnessed a motor vehicle accident on February 20, 1990.",nothing disclosed
ocd-division/country:ca/cd:3530,98005,5,personal,public,Regional Solicitor's file for {name removed} regarding their employment with the Waterloo Regional Police Service.,disclosed in part
ocd-division/country:ca/cd:3530,98006,6,general,business,Tender and contract for wastewater treatment operations including Request for Proposals; communications; evaluations; contract with {company name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,98007,7,general,business,Unit pricing (pages 24-28) of winning bid for HHW contract.,nothing disclosed
ocd-division/country:ca/cd:3530,98008,8,personal,public,"GWA for {name removed} records from January 1, 1993 to present, particularly a letter regarding assets.",disclosed in part
ocd-division/country:ca/cd:3530,98009,9,personal,public,Home Child Care Provider file for {name removed} from 1983 to present.,disclosed in part
ocd-division/country:ca/cd:3530,98010,10,personal,public,"Income Maintenance file for {name removed} narrative notes from January 10-31, 1996; letter from {name removed} dated July 30, 1996.",all disclosed
ocd-division/country:ca/cd:3530,98011,11,general,public,Various records regarding the voice radio system.,transferred
ocd-division/country:ca/cd:3530,98012,12,general,media,Ontario Works participating community agencies and number of clients assigned to each.,nothing disclosed
ocd-division/country:ca/cd:3530,98013,13,personal,public,Income Maintenance file for {name removed} narrative notes; correspondence from Income Maintenance file from 1991 to present to requester; two letters to staff from {name removed}; copies of trailer sales receipts.,disclosed in part
ocd-division/country:ca/cd:3530,98014,14,personal,public,Home Child Care Provider file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,98015,15,personal,public,Narrative notes in Income Maintenance file for {name removed} from 1998.,all disclosed
ocd-division/country:ca/cd:3530,98016,16,general,business,Records regarding filter materials supplied by {company name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,98017,17,general,business,"Environmental Enforcement Services file on {location removed}, New Hamburg.",all disclosed
ocd-division/country:ca/cd:3530,98018,18,personal,public,"Home Child Care Provider file for {name removed} from May 8, 1998 to September 29, 1998.",disclosed in part
ocd-division/country:ca/cd:3530,98019,19,general,business,"Salary, hiring and job competition records related to {name removed}.",disclosed in part
ocd-division/country:ca/cd:3530,98020,20,general,business,Any correspondence prepared by the Region of Waterloo and sent to anyone other than {names removed} that concerns {name removed} and has not already been released under other FOI requests.,disclosed in part
ocd-division/country:ca/cd:3530,98021,21,general,business,Records concerning specification of {company name removed} filtration equipment in Region of Waterloo contracts.,disclosed in part
ocd-division/country:ca/cd:3530,98022,22,general,business,Investigative report on plumbing in {name removed} apartment. ,nothing disclosed
ocd-division/country:ca/cd:3530,99001,1,general,business,"Minutes of Service Delivery Subcommittee of ESCAC for period of January 1, 1997 to January 13, 1999.",disclosed in part
ocd-division/country:ca/cd:3530,99002,2,general,business,"Public Health inspection reports for the {location removed}, Kitchener for the past 3 years.",all disclosed
ocd-division/country:ca/cd:3530,99003,3,general,business,"Public Health inspection records for {location removed}, Cambridge for the past 2 years.",disclosed in part
ocd-division/country:ca/cd:3530,99004,4,general,public,"Public Health inspection records for {address removed}, Cambridge, relating to sink odours in 1994.",all disclosed
ocd-division/country:ca/cd:3530,99005,5,general,business,"Vendor list report with total of year-to-date purchases at fiscal year end for 1996, 1997, and 1998.",all disclosed
ocd-division/country:ca/cd:3530,99006,6,personal,public,Public Health inspection file for {name removed} at {location removed} regarding requester's dismissal from employment.,all disclosed
ocd-division/country:ca/cd:3530,99007,7,general,public,Scope of work and deliverables sections of contract between Region of Waterloo and {company name removed} for Waterloo Regional Master Transportation Plan.,all disclosed
ocd-division/country:ca/cd:3530,99008,8,general,public,Number of contracts and dollar amount of contracts between Region of Waterloo and {company name removed} for the last 5 years.,abandoned
ocd-division/country:ca/cd:3530,99009,9,personal,public,"Public Health inspection report regarding a complaint about contamination found in coffee cup at {location removed}, Cambridge.",all disclosed
ocd-division/country:ca/cd:3530,99010,10,general,business,Phase I environmental site assessment regarding sewer use at {addresses removed}.,abandoned
ocd-division/country:ca/cd:3530,99011,11,general,business,Complete fiscal year end vendor report for years 1996 to 1998 and trial balances for the same time period.,disclosed in part
ocd-division/country:ca/cd:3530,99012,12,personal,public,A complete copy of Income Maintenance client file for {name removed},all disclosed
ocd-division/country:ca/cd:3530,99013,13,general,public,Rabies control records related to dog bite affecting {names removed} and any other reports of bites by the dog involved.,disclosed in part
ocd-division/country:ca/cd:3530,99014,14,personal,public,"Home Child Care Provider file for {name removed} from May 31, 1999 to present.",disclosed in part
ocd-division/country:ca/cd:3530,99015,15,general,business,"Records relating to complaint about {location removed}, Cambridge.",all disclosed
ocd-division/country:ca/cd:3530,99016,16,personal,public,Financial records documenting {name removed} earnings as a Home Child Care Provider from 1996 to 1999; 1998 earnings to be broken down by child.,all disclosed
ocd-division/country:ca/cd:3530,99017,17,personal,public,Minutes and notes relating to {name removed} meeting with Home Child Care staff and Commissioner.,disclosed in part
ocd-division/country:ca/cd:3530,99018,18,general,business,"All files relating to tendering, construction, administration and evaluation of Shades Mill Water Treatment Plant.",abandoned
ocd-division/country:ca/cd:3530,99019,19,general,public,List of all radio frequencies used by Region of Waterloo fire and police departments and any information on the new radio system.,transferred
ocd-division/country:ca/cd:3530,99020,20,general,business,"Copies of purchase orders for last 12 months in amounts of $5,000 to $50,000, relating to construction, maintenance, and repair of water and wastewater facilities.",abandoned
ocd-division/country:ca/cd:3530,99021,21,personal,public,{Name removed} personnel file for the period 1990/10/01 to 1999/10/31.,abandoned
ocd-division/country:ca/cd:3530,99022,22,personal,public,"Complaint dated November 1, 1999 in {name removed} Home Child Care Provider file.",disclosed in part
ocd-division/country:ca/cd:3530,99023,23,general,business,"All reports, studies and documents pertaining to flow and flooding of the Speed River in the vicinity of Highway 24 in Cambridge.",nothing disclosed
ocd-division/country:ca/cd:3530,99024,24,personal,public,Home Child Care Provider file for {name removed{ from March 1999 to present.,disclosed in part
ocd-division/country:ca/cd:3530,99025,25,general,public,By-Law officer's notes regarding charges against {name removed} under second hand goods by-law.,nothing disclosed
ocd-division/country:ca/cd:3530,99026,26,general,public,List of all taxi license owners in the City of Cambridge.,nothing disclosed
ocd-division/country:ca/cd:3530,99027,27,personal,public,Complaint regarding alleged fraud accusation made against {name removed} in September 1999.,abandoned
ocd-division/country:ca/cd:3530,201106,106,general,business,"Phase I environmental site assessment for {address removed}, Waterloo.",nothing disclosed
ocd-division/country:ca/cd:3530,2000001,1,general,business,Correspondence from 1996 to 1997 regarding Shades Mill Water Treatment Plant and all site correspondence.,abandoned
ocd-division/country:ca/cd:3530,2000002,2,general,business,Quotation Q99-1154 bidders and pricing information for blueprinting and reprographic services.,abandoned
ocd-division/country:ca/cd:3530,2000003,3,general,business,"Public Health Inspection reports and records regarding alleged food poisoning incident on August 25, 1999 at {location removed}, Cambridge.",disclosed in part
ocd-division/country:ca/cd:3530,2000004,4,personal,public,Home Child Care Provider file for {name removed} from February 1997 to present.,abandoned
ocd-division/country:ca/cd:3530,2000005,5,personal,public,"Public Health Inspection reports about food-borne illness dated March 18, 2000 and laboratory results regarding {location removed}, Waterloo.",disclosed in part
ocd-division/country:ca/cd:3530,2000006,6,general,public,"Public Health Inspection report dated March 20, 2000 regarding outbreak of food-borne illness at {location removed}, Waterloo.",all disclosed
ocd-division/country:ca/cd:3530,2000007,7,general,public,Submissions received by Regional Councillors regarding smoking By-Law 96-055 since 1993.,all disclosed
ocd-division/country:ca/cd:3530,2000008,8,personal,public,Public Health Inspection reports and laboratory findings about food-borne illness related to {name removed} complaint dated {date removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2000009,9,personal,public,Income Maintenance narrative notes from 1991 to present for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2000010,10,general,business,"Phase 1 environmental site assessments for {addresses removed}, Kitchener.",abandoned
ocd-division/country:ca/cd:3530,2000011,11,general,business,Copy of {company name removed} tender bid for redevelopment of Sunnyside Home and copy of written purchasing policies of the Region of Waterloo.,all disclosed
ocd-division/country:ca/cd:3530,2000012,12,general,business,"Copies of purchase orders in range of $5,000 to $50,000 issued for repair, construction and maintenance work on Regional Water & Wastewater treatment facilities from September 1998 to September 1999.",disclosed in part
ocd-division/country:ca/cd:3530,2000013,13,personal,business,Access to client/family data in Healthy Babies Healthy Children Integrated Services for Children Information System.,all disclosed
ocd-division/country:ca/cd:3530,2000014,14,personal,public,Correction of two narrative note entries in {name removed} GWA file; entries dated 97/7/14 & 97/1/15.,correction
ocd-division/country:ca/cd:3530,2000015,15,personal,public,A complete copy of Ontario Works client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2000016,16,general,public,"Letter regarding pay equity plan to {name removed} from {names removed}, dated approximately 00/3/6; response to letter sent to Region of Waterloo by {names removed} on March 6 to 13, 2000.",transferred
ocd-division/country:ca/cd:3530,2000017,17,general,business,"Public Health inspections, complaints and violations dating from 1995 to present for four {locations removed} in Waterloo Region.",disclosed in part
ocd-division/country:ca/cd:3530,2000018,18,general,public,"Any and all records regarding a multi vehicle accident on June 20, 2000 on {location removed}.",disclosed in part
ocd-division/country:ca/cd:3530,2001001,1,personal,public,"Social Assistance client file for {name removed} from 1996 to present, including all correspondence.",all disclosed
ocd-division/country:ca/cd:3530,2001002,2,personal,public,"All records about {name removed}, including former Regional Solicitor {name removed} file and successor's file.",abandoned
ocd-division/country:ca/cd:3530,2001003,3,general,business,All records regarding St. Clements Pumping Station in 1994 related to work performed by {company name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2001004,4,general,public,Location and subsidy paid by the Region of Waterloo for a variety of recreational and cultural venues in the City of Kitchener for past 10 years.,all disclosed
ocd-division/country:ca/cd:3530,2001005,5,general,business,"Records relating to environmental issues or impacts resulting from volatile organic compounds in groundwater under or around vicinity of {locations removed}, Cambridge.",disclosed in part
ocd-division/country:ca/cd:3530,2001006,6,general,public,"Location of contaminated sites near {address removed}, Waterloo and nature of contamination.",disclosed in part
ocd-division/country:ca/cd:3530,2001007,7,personal,public,A copy of Ontario Works client file for {name removed} from 1995 to 1997.,all disclosed
ocd-division/country:ca/cd:3530,2001008,8,general,public,Names of contractors and quotes for Request for Proposal P2001-04 regarding chipping and grinding at the Waterloo Landfill.,all disclosed
ocd-division/country:ca/cd:3530,2001009,9,general,business,Information related to groundwater contamination in the {location removed} in connection with MOE Orders issued to {names removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2001010,10,general,business,"Companies being monitored for acidic wastewater discharge, values of non-compliance and companies that have been notified in writing of infractions under sewer use by-law.",abandoned
ocd-division/country:ca/cd:3530,2001011,11,general,public,Receipts or other records regarding sale of trailers by requester to {names removed}.,nothing disclosed
ocd-division/country:ca/cd:3530,2001012,12,general,public,"All records, including service and repair records regarding the intersection of {intersection removed} from September 28, 1995 to date.",all disclosed
ocd-division/country:ca/cd:3530,2001013,13,general,public,Technical and operating manuals for laser speed detectors regarding Provincial Offences Court Highway Traffic Act charge.,abandoned
ocd-division/country:ca/cd:3530,2001014,14,general,public,Water quality test results of {location removed} public beach.,all disclosed
ocd-division/country:ca/cd:3530,2001015,15,general,business,Contract between Grand River Transit and {company name removed} for the Cambridge service area.,all disclosed
ocd-division/country:ca/cd:3530,2001016,16,general,public,Grand River Transit contract for outdoor bench advertising in Cambridge. ,all disclosed
ocd-division/country:ca/cd:3530,2001017,17,general,public,Information regarding speed detection unit used to lay Highway Traffic Act charge.,transferred
ocd-division/country:ca/cd:3530,2001018,18,general,public,"Certificates of Approval regarding sewage sludge spreading; records regarding where, when, how much sludge was spread in 2000 and 2001.",disclosed in part
ocd-division/country:ca/cd:3530,2001019,19,general,business,Contract between {company name removed} and the Region of Waterloo for Sunnyside Home redevelopment. ,all disclosed
ocd-division/country:ca/cd:3530,2001019,19,general,public,Notes from Provincial Offences Court Prosecutor {name removed} to Ministry of Transportation - Ontario.,all disclosed
ocd-division/country:ca/cd:3530,2001020,20,general,business,"All records regarding Environmentally Sensitive Policy Area 38, excluding the ""Public File"" maintained by {name removed}; January 1, 1995 to date.",abandoned
ocd-division/country:ca/cd:3530,2001021,21,personal,public,Rent receipts from 1997 to present in Ontario Works client file for (name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2001022,22,personal,public,Rent receipts from 1997 to present in Ontario Works client file for (name removed}.,nothing disclosed
ocd-division/country:ca/cd:3530,2001023,23,personal,public,A copy of Ontario Works client file for {name removed} from 2000 to present.,all disclosed
ocd-division/country:ca/cd:3530,2001024,24,general,public,Ice rental rate for the City of Kitchener Tim Horton's Christmas skate.,transferred
ocd-division/country:ca/cd:3530,2001025,25,personal,public,Home Child Care Provider file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2002001,1,personal,public,A complete copy of Ontario Works client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2002002,2,personal,public,Payment history from Social Assistance for {name removed} from 1995 to present.,all disclosed
ocd-division/country:ca/cd:3530,2002003,3,general,business,Identity of owner of closed restaurant {name ,disclosed in part
ocd-division/country:ca/cd:3530,2002004,4,general,business,"Identity of companies paying > $250,000 in sewer surcharge & value of payment and criteria exceeded.",nothing disclosed
ocd-division/country:ca/cd:3530,2002005,5,general,business,"Identity of companies paying > $250,000 sewer surcharge & value of payment and criteria exceedance.",abandoned
ocd-division/country:ca/cd:3530,2002006,6,general,public,Planning records related to Paradise Lake Settlement Area.,all disclosed
ocd-division/country:ca/cd:3530,2002007,7,personal,public,Records related to Trees By-law charge against requester and her husband {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2002008,8,,public,Rabies incident report records regarding May 2001 dog bite.,all disclosed
ocd-division/country:ca/cd:3530,2002009,9,general,public,Competition file 2002-91 for Public Health Nurse in Sexual Health.,disclosed in part
ocd-division/country:ca/cd:3530,2002010,10,personal,public,Personal information for {name removed} in Competition file 2002-91 Public Health Nurse for Sexual Health.,disclosed in part
ocd-division/country:ca/cd:3530,2002011,11,personal,public,A copy of Ontario Works client file for {name removed} from October 2001 to present.,all disclosed
ocd-division/country:ca/cd:3530,2002012,12,general,business,Proposals for Pride Network P2002-014.,nothing disclosed
ocd-division/country:ca/cd:3530,2002013,13,general,public,"Contract or leases for garbage disposal from 1960 to 1970 between the Region of Waterloo and the owner of {address removed}, Wilmot Township; any records regarding the property.",nothing disclosed
ocd-division/country:ca/cd:3530,2002014,14,personal,public,All files related to {name removed} held by Waterloo Region Housing.,disclosed in part
ocd-division/country:ca/cd:3530,2002015,15,general,business,All records related to Environmentally Sensitive Policy Area 38.,disclosed in part
ocd-division/country:ca/cd:3530,2002016,16,general,business,All records related to Environmentally Sensitive Policy Area 36,disclosed in part
ocd-division/country:ca/cd:3530,2002017,17,general,public,"Records related to speed detection unit, Ontario Provincial Police {name removed} training and history of issuing Provincial Offence Notices regarding speeding charge in Provincial Offences Act court.",abandoned
ocd-division/country:ca/cd:3530,2002018,18,general,business,Roads needs studies from 1990 to 1994 in relation to Environmentally Sensitive Policy Area designation in Blair.,all disclosed
ocd-division/country:ca/cd:3530,2002019,19,,public,"Food-borne illness incident records for {location removed} on October 7, 2002.",all disclosed
ocd-division/country:ca/cd:3530,2002020,20,general,public,Records sent by Sunnyside Home to St. Mary's General Hospital regarding {name removed} fall in July 2002.,abandoned
ocd-division/country:ca/cd:3530,2003001,1,general,business,Contracts and payments made by the Region of Waterloo with {company name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2003002,2,general,public,Information regarding Public Health Nurse staff qualifications to perform sexual health counselling.,all disclosed
ocd-division/country:ca/cd:3530,2003003,3,general,public,Cost of surveillance by Waterloo Regional Police Service on requester and {name removed}.,nothing disclosed
ocd-division/country:ca/cd:3530,2003004,4,personal,public,"Records regarding alleged food borne illness at {location removed}, Cambridge.",all disclosed
ocd-division/country:ca/cd:3530,2003005,5,general,business,Environmental records concerning expropriation of property for the Breslau by-pass.,abandoned
ocd-division/country:ca/cd:3530,2003006,6,general,public,Number of promoted employees/new hires aged 55 or older for the previous 3 year period.,nothing disclosed
ocd-division/country:ca/cd:3530,2003007,7,general,public,"Records about mould growth at {name removed} home at {address removed}, Kitchener.",disclosed in part
ocd-division/country:ca/cd:3530,2003008,8,personal,public,"Information about {name removed} and children related to mould problem at {address removed}, Kitchener.",all disclosed
ocd-division/country:ca/cd:3530,2003009,9,general,business,Results for tender T2003-112 for Carpet Replacement.,all disclosed
ocd-division/country:ca/cd:3530,2003010,10,general,business,Records from {name removed} or {name removed} regarding municipal regulation of pesticides.,nothing disclosed
ocd-division/country:ca/cd:3530,2003011,11,personal,public,"Rabies control records from an incident occurring on January 4, 2003 at {address removed}, Kitchener.",disclosed in part
ocd-division/country:ca/cd:3530,2003012,12,personal,public,Rabies control records for incident that occurred at {location removed} and dealt with by Halton Public Health.,transferred
ocd-division/country:ca/cd:3530,2003013,13,general,business,"Public Health Inspection records regarding {location removed}, Cambridge.",disclosed in part
ocd-division/country:ca/cd:3530,2003014,14,general,business,"Analysis of sewage composition on {street name removed}, Cambridge on May 23, 2003.",all disclosed
ocd-division/country:ca/cd:3530,2003015,15,general,business,Records regarding reconstruction of Weber Street from Queen Street to Guelph Street.,abandoned
ocd-division/country:ca/cd:3530,2003016,16,personal,public,A complete copy of Ontario Works client file for {name removed}.,transferred
ocd-division/country:ca/cd:3530,2003017,17,general,public,Email sent by {name removed} to CUPE members which referred to {name removed}.,nothing disclosed
ocd-division/country:ca/cd:3530,2003018,18,general,business,Records regarding the disposal of sewage sludge from the Elmira Wastewater Treatment Plant from 1970 to present.,abandoned
ocd-division/country:ca/cd:3530,2003019,19,general,business,Health records of deceased Sunnyside Home resident {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2003020,20,personal,public,A complete copy of Ontario Works client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2003021,21,general,public,Latest annual report of the Provincial Offences Act Court to the Ministry of the Attorney-General.,abandoned
ocd-division/country:ca/cd:3530,2003022,22,general,public,"Rabies control investigation records regarding dog bite on October 23, 2003.",disclosed in part
ocd-division/country:ca/cd:3530,2003023,23,personal,public,A complete copy of Ontario Works client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2003024,24,general,business,Various records regarding the installation of an Instrument Landing System on runway 07 at the Region of Waterloo International Airport.,all disclosed
ocd-division/country:ca/cd:3530,2004001,1,personal,public,Income statements and employer identity for period from December 1999 to December 2003.,all disclosed
ocd-division/country:ca/cd:3530,2004002,2,personal,public,Return of original application from Prenatal Support Worker competition file 04-034.,correction
ocd-division/country:ca/cd:3530,2004003,3,general,business,"Technical specifications and maintenance records form January 1 to June 23, 2003 for the red light camera at {intersection removed}, Kitchener.",disclosed in part
ocd-division/country:ca/cd:3530,2004004,4,personal,public,A complete copy of Ontario Works client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2004005,5,general,public,Records related to laser speed detection unit and responsible officer related to a speeding charge before the Provincial Offenses Court.,transferred
ocd-division/country:ca/cd:3530,2004006,6,,public,Rabies control investigation from April 2003 regarding requester's dog.,disclosed in part
ocd-division/country:ca/cd:3530,2004007,7,personal,public,A complete copy of Ontario Works client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2004008,8,personal,public,A complete copy of Ontario Works client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2004009,9,general,business,"Oversize load permit and application issued to {company name removed} on July 8, 2003.",nothing disclosed
ocd-division/country:ca/cd:3530,2004010,10,personal,public,"Ontario Works income statements submitted by {name removed} in 1997, 1998, and 1999.",all disclosed
ocd-division/country:ca/cd:3530,2004011,11,personal,public,Four records of correspondence from Ontario Works file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,2004012,12,general,business,Four job descriptions of Region of Waterloo positions including the salary ranges and evaluation rating forms.,disclosed in part
ocd-division/country:ca/cd:3530,2004013,13,,public,Rabies control investigation file.,disclosed in part
ocd-division/country:ca/cd:3530,2004014,14,general,public,"Policies, procedures and by-laws regarding the retention of Waterloo Regional Police Service records.",disclosed in part
ocd-division/country:ca/cd:3530,2004015,15,personal,public,"Food-borne illness incident records from {location removed}, Kitchener on September 5, 2004.",all disclosed
ocd-division/country:ca/cd:3530,2004016,16,personal,public,Social Worker client file pertaining to {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,2004017,17,general,business,"Phase I environmental site assessment for {address removed}, Elmira.",all disclosed
ocd-division/country:ca/cd:3530,2004018,18,general,business,"Phase I environmental site assessment for {address removed}, Elmira.",all disclosed
ocd-division/country:ca/cd:3530,2004019,19,general,business,"Phase I environmental site assessment for {location removed}, Elmira.",all disclosed
