division_id,identifier,position,abstract,organization,classification,applicant_type,date_accepted,application_fee,processing_fee,waived_fees,unpaid_fees,date,decision
ocd-division/country:ca/csd:3553005,FOI2015-125,125,Building Control file for stairs at a specified address and engineers report (OBC requirements for stairs).,Building,general,public,2015-07-02,5.00,14.30,,,2015-07-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-126,126,Specified Fire Report.,Fire Services,general,public,2015-07-03,5.00,,,20.10,2015-07-22,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-127,127,"Greater Sudbury public health inspection records and/or other related documents for two specified addresses in Sudbury pertaining to the Health Protection and Promotion Act Regulation 565 (Public Pools) and 428-05 (Public Spas) filed from January 1, 2008-June 18, 2015.  ",Transferred to Sudbury and District Health Unit,general,public,2015-07-07,5.00,,,,,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-129,129,"All records of expenses paid out for a specified address (legal, all reports, professional fees, demolition, remediation cost and amount of taxes lost)  As well as Documents of Sale and amount sold for.  All that it cost City to deal with.  ","Building Services, Finance, Legal, Construction Services, Engineering, Real Estate, Tax",general,public,2015-07-07,5.00,,,,,
ocd-division/country:ca/csd:3553005,FOI2015-130,130,"Any information of Ella Lake (Capreol) aka Capreol Lake pertaining to the Ella Lake Boat Launch area.  Specifically, the parking area at the public boat launch and the docks that are in the water at the boat launch area.  Please include pre- and post-amalgamation documents.  ","Legal, Leisure Services, By-Law, Real Estate, Parks",general,public,2015-07-07,5.00,104.20,,,2015-08-06,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-132,132,"All information regarding the renovation project of a specified address that has been communicated (including e-mail, faxes, phone calls, memos, notes, and/or any communication of any kind) between any City of Greater Sudbury official, including but not limited to the Chief Building Inspector, by-law officers, complainant(s)and the Greater Sudbury Police Services.  Copies of every inspection that was conducted on the renovation project of the specified address since January 1, 2009.","Building Services, By-law",general,public,2015-07-08,5.00,53.20,,,2015-08-10,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-128,128,"Any and all records held by the Greater Sudbury Fire Services, including but not limited to, any accident reports, fire personnel notes, witness or third party notes/statements, investigator notes/records/reports, photos, video, internal and inter-departmental radio or electronic communications from a specified evening at a specified location or any transcripts, observations, time lines of events, computer generated/assisted data, dispatch records, and any other audio, video, electronic , or other medium records related to two specified individuals, and the events of that evening.  ","EMS, Fire Services",general,public,2015-07-07,5.00,57.80,,,2015-08-12,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-133,133,"Any correspondence addressed to a specified employee, re: the Sudbury transit ticket scandal, including emails, letters, notes, audits and all other documentation up to and following his departure.  ","CAO, Transit, Legal, IT",general,media,2015-07-14,5.00,17.30,,,2015-08-13,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-134,134,A specified employees most recent contract and any relevant appendices or updates.  ,"HR, Legal",general,media,2015-07-14,5.00,8.70,,,2015-08-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-135,135,Request records from a specified by-law officer concerning landlord obstructing officer and entering premises at a specified address in approximately June of 2012.,By-law,general,public,2015-07-15,5.00,6.20,,,2015-08-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-136,136,Please disclose current employment contracts of specified employees.  Please disclose expenses reimbursed by a specified employee.  ,"HR, Legal",general,public,2015-07-16,5.00,41.30,,,2015-08-14,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-137,137,"Records/Evaluations of an application for Handi-Transit that may have been made to Sudbury Transit regarding a specified person from July 1, 2010 to the present date.",Transit,general,public,2015-07-17,5.00,18.40,,,2015-08-14,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-140,140,Copy of a specified legal opinion requested. ,Legal ,general,media,2015-07-17,5.00,,,,2015-08-17,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-141,141,"I would like a list of all residential and commercial property-holders who are in property tax arrears in excess of $100,000.  I would like their names, the properties and the arrear amount.",Tax,general,media,2015-07-20,5.00,7.70,,,2015-08-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-142,142,"Retaining wall at SW corner of a specified property.  Looking for geotechnical report for wall and rock bolts, which I understand were installed and then re-installed one year later (ca. 2011/2012).  Also require any letters/reports pertaining to the rock mass. ","Engineering, Construction Services, ",general,public,2015-07-22,5.00,75.60,,,2015-08-17,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-138,138,Ontario Works File.,Ontario Works,personal,public,2015-07-16,5.00,,,,2015-08-18,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-139,139,Ontario Works File.,Ontario Works,personal,public,2015-07-17,5.00,6.80,,,2015-08-18,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-143,143,Specified Fire Services Report.  All related information regarding dispatch of fire services to a specified address on a specified date.,Fire Services,general,public,2015-07-24,5.00,,,18.90,2015-08-18,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-144,144,Building Permits for a specified property.,Building Services,general,public,2015-07-24,5.00,,,31.50,2015-08-19,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-147,147,Please advise the following relating to a specified individuals election signs reported to be in contravention of the City?s by-law election signs removal requirement from specified locations:  1- The number of signs reported in contravention of the by-law; 2 -  the total monetary amount of fines levied against a specified individual pertaining to the subject signs only; 3- the total monetary amount of fines paid by a specified individual pertaining to the subject signs only.  ,By-Law,general,public,2015-07-27,5.00,,,63.40,2015-08-19,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-148,148,By-law paperwork for the property at a specified address.,By-Law,general,public,2015-07-30,5.00,,,17.40,2015-08-20,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-149,149,Part I - List of City funded museums; indicate whether non-profit or city-run/owned;  Part II - Total annual budget for City funded museums (2104);  Part III ? Amount of municipal operating funding for museums (2014);  Part IV ? Amount of municipal capital funding for museums (2014);  Part V ? Number of visitors in 2014 for city-funded museum; Part VI ? Number of full-time and part-time staff in city-funded museums.  ,"Finance, Libraries & Heritage Resources",general,public,2015-07-30,5.00,,,32.60,2015-08-21,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-146,146,"Regarding a specified address sewer failure on a specified date.  Part I ? notes, records & reports relating to the relevant sewer(s) for the period three years prior to a specified date;  Part II ? notes, records & reports relating to the sewer failure and the City?s involvement at the property with respect to its investigation of the sewer failure;  Part III ? copy of inspection records for the subject sewer(s) for the period of three years prior to the ?date of loss?; Part IV ? copy of the relevant by-laws, policies and procedures in place at the time the sewer back-up occurred regarding maintenance, servicing, inspections, repairs and replacement of sewers; Part V ? copies of any and all TV lateral tapes/video recordings and photographs that were taken in connection with the servicing, inspections and maintenance of the sewer(s) for the period of three years prior to the ?date of loss?; Part VI ? statements taken from witnesses with respect to the water main failure; Part VII ? copy do notes, records & reports relating to the lift station, including information regarding what the issue was, how it affected the sewer(s), and the City?s involvement with respect to its investigation of the issue at the lift station; Part VIII ? copy of the City?s inspection records for the subject lift station for the period three years prior to the ?date of loss?; Part IX ? copy of the relevant by-laws, policies, procedures in place at the time the issue at the lift station occurred regarding maintenance, servicing, inspections and repairs. ","Water/Wastewater, Drainage",general,public,2015-07-27,5.00,417.90,,,2015-08-24,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-150,150,"Emails or written correspondence or copies of notes from personal meetings or telephone conversations or any other documentation from January 1, 2015 through to July 30, 2015  a) between a specified Councillor and specified individuals; b) between a specified Councillor and all other members of Council pertaining to a specified rezoning application.","Council, Mayors Office",general,public,2015-07-30,5.00,,,,2015-08-24,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-152,152,"Copies of email, correspondence (in writing), notes from personal conversations or phone calls and other documents exchanged/received a) between a specified Councillor and a specified Manager; b) between  a specified Councillor and a specified individual c) between a specified manager and a specified individual pertaining to a specified event.  Correspondence/documentation between January 1, 2015 and July 30, 2015.","Council, Transit",general,public,2015-07-30,5.00,,,13.70,2015-08-25,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-151,151,"Copies of emails or other written correspondence or notes made as a result of personal meetings or telephone conversations and any other documents in the control of the City?s 13 municipal Council members from/pertaining to a specified business and/or to principals including a specified individual between January 1, 2015 and July 15, 2015.  This request limited to Council members only. ","Council, Mayors Office",general,public,2015-07-30,5.00,,,11.20,2015-08-26,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-162,162,"All municipal documents related to the Sudbury episode of the Amazing Race Canada.  This could include emails, faxes, letters, budgets, pitch ideas, plans, etc.  I would also like access to agreements between the City and its Amazing Race Partners (those who helped bring the show to Sudbury), as well as contracts with the show?s producers.  
","Mayors office, GSDC, Leisure Services, Finance",general,media,2015-08-21,5.00,,,,2015-09-09,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-155,155,Complaint registered against a specified person and/or a specified address.  This is in regards to a gate and driveway on the specified property.,By-Law,general,public,2015-08-11,5.00,,,7.40,2015-09-10,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-145,145,Ontario Works File.,Ontario Works,personal,public,2015-07-27,5.00,46.80,,,2015-09-11,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-157,157,Any records and correspondence for a specified address.  Do not require crew cards.,"Water/Wastewater, Engineering",general,public,2015-08-12,5.00,,,170.70,2015-09-11,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-158,158,Copy of the 2000 Letter of Compliance on the retrofit done at a specified address.,Fire Services,general,public,2015-08-14,5.00,,,15.20,2015-09-14,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-159,159,House plans for a specified address.,Building Services,general,public,2015-08-17,5.00,,,10.60,2015-09-16,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-156,156,Ontario Works File.,Ontario Works,personal,public,2015-08-11,5.00,,,,2015-09-21,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-169,169,All building permits and all drawings for a specified address.,Building Services,general,public,2015-09-03,5.00,,,,2015-09-21,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-161,161,"The history of how a specified address has been taxed and the number of units on record (example: 1 unit, 2 units, 3 units,?)  MPACs assessment is for a three-unit building.  Requestor would like to know how many units being taxed for and how long the property has been taxed at that number of units.   ",Tax Department,general,public,2015-08-20,5.00,,2.70,,2015-09-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-170,170,"Building Inspection reports and By-law records for a specified address, specifically for August 27, 2015.  ",Building Services,general,public,2015-09-08,5.00,11.90,,,2015-09-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-164,164,"On March 18, 2015 a specified By-law Officer came to my apartment and took pictures. On April 1, 2015, the same officer came back to my apartment and took more pictures. I would like to see the pictures and find out if something will be done. I would like to have a copy of these reports for a probable court action.",By-Law,general,public,2015-08-26,5.00,34.60,,,2015-09-23,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-165,165,Architectural drawings for a specified address. ,Building Services,general,public,2015-08-28,5.00,,,33.50,2015-09-23,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-167,167,Permit Drawings related to a specified building permit for the installation of a patio door and deck (rear yard).,Building Services,general,public,2015-09-01,5.00,10.60,,,2015-09-23,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-163,163,"City records regarding the maintenance/ construction/ work orders/ flush records/ city water report related to & around a specified address. Including but not limited to the particulars of loss of about April 15, 2014. The period of request: May 2012 to May 2014.","Water/Wastewater, Engineering, Construction Services",general,business,2015-08-25,5.00,210.00,,,2015-09-24,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-168,168,All permits for a specified address.,Building Services,general,public,2015-09-03,5.00,45.50,,,2015-09-29,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-171,171,"Any reports and/or complaints of sewer back losses reported on or about November 13, 2012 and in the Bancroft Drive area from Levesque Street to Moonlight Avenue, Sudbury.  ",Water/Wastewater,general,public,2015-09-08,5.00,11.20,,,2015-10-07,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-172,172,"Regarding a specified address.  Part I ? notes, records & reports relating to the relevant sewer(s) for the period three years prior to a specified date;  
Part II ? notes, records & reports relating to the sewer/storm drain failure and the City?s involvement at the property with respect to its investigation of the sewer backup and/or frozen storm drain;  
Part III ? copy of inspection records for the subject sewer(s) and storm drains for the period of three years prior to a specified date; 
Part IV ? copy do the relevant by-laws, policies and procedures in place at the time the sewer back-up and frozen storm drain occurred regarding maintenance, servicing, inspections, repairs and replacement of sewers and storm drains; 
Part V ? copies of any and all TV lateral tapes/video recordings and photographs that were taken in connection with the servicing, inspections and maintenance of the sewer(s) and storm drains for the period of three years prior to a specified date; 
Part VI ? copies of any and all TV lateral tapes/video recordings and photographs that were used by the City in its investigation to determine the cause and origin of the backup and frozen storm drain(s);
Part VIII - statements taken from witnesses with respect to the sewer backup and frozen storm drain(s).
",Water/Wastewater,general,public,2015-09-09,5.00,50.00,,,2015-10-07,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-160,160,Ontario Works File.,Ontario Works,personal,public,2015-08-18,5.00,61.20,,,2015-10-14,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-174,174,Ontario Works file.,Ontario Works,personal,public,2015-09-15,5.00,,0.60,,2015-10-14,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-175,175,Letter re: Swale/Grading of a specified property.,Engineering,general,public,2015-09-17,5.00,,,30.20,2015-10-14,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-179,179,All court transcripts/documents relating to case against a specified person.,Court Services,general,public,2015-09-16,5.00,,,,2015-10-14,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-173,173,"Complete building file (including property maps, plans, building permits) for a specified address.",Building Services,general,public,2015-09-15,5.00,,,154.83,2015-10-16,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-176,176,Building Services file and Retrofit information in its entirety for a specified address. ,"Building Services, Fire Services",general,public,2015-09-21,5.00,34.40,,,2015-10-19,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-177,177,Building Services file and Retrofit information in its entirety for a specified address. ,"Building Services, Fire Services",general,public,2015-09-21,5.00,15.60,,,2015-10-19,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-180,180,Fire Services responded to a fire at a specified location.  Please provide information regarding the cause of the event.  ,Fire Services,general,public,2015-09-23,5.00,18.70,,,2015-10-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-181,181,"Tax notices for the sale of a specified property, Sudbury that were sent to a specified person and the residence (and any other documents notifying of the tax sale of that property).",Tax Department,general,public,2015-09-23,5.00,5.20,,,2015-10-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-182,182,"Building permit, inspections to date, any notices/information that has been given, plot plan/site plan for a specified address. ",Building Services,general,public,2015-09-24,5.00,127.33,,20.80,2015-10-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-183,183,Fire records for a specified address.  ,Fire Services,general,public,2015-09-24,5.00,18.30,,,2015-10-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-178,178,Ontario Works file.,Ontario Works,personal,public,2015-09-21,5.00,,,,2015-10-28,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-186,186,Unresolved Fire Code Violations for building at a specified address.,Fire Services,general,public,2015-09-29,5.00,15.60,,,2015-10-28,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-197,197,Ontario Works File.,Ontario Works,personal,public,2015-10-23,5.00,,,,2015-10-28,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-184,184,"Permit drawings issued to a specified address.  Specified Permit # and specified Permit #.  Also, any inspection reports related to the noted permits.  ",Building Services,general,public,2015-09-29,5.00,40.00,,,2015-10-29,
ocd-division/country:ca/csd:3553005,FOI2015-185,185,"Permit drawings for a specified address.  Specified Permit # and specified Permit #.  Also, any inspection notes related to the referenced permits.  ",Building Services,general,public,2015-09-29,5.00,32.50,,,2015-10-29,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-190,190,City Contractor records/invoice for frozen water service thaw on or about a specified date and 311 call records for frozen water service/leaking from frozen water service at a specified address and any other records in relation to the frozen water service for a specified address. ,"311, Water Wastewater, Engineering",general,public,2015-10-05,5.00,37.20,,,2015-10-29,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-193,193,"Any fire inspection reports including any attached photographs, documentation and any orders to remedy from January 2015 to present for a specified property.  ","Fire Services, By-law",general,public,2015-10-13,5.00,,,30.60,2015-10-29,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-187,187,"Copies of all proposals submitted in response to a specified contract, Request for Proposal for the specified contract.  Copy of the contract signed with the winning proposer.  ",Purchasing,general,public,2015-10-01,5.00,,,,2015-10-30,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-188,188,"Minutes of the April, May, June and September monthly meetings, and the complete report which is the Operations Review done in August 2015 for a specified location. ",Housing Services,general,public,2015-10-02,5.00,32.70,,,2015-11-02,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-191,191,"All information on a specified property.  Inspections done, passed or rejected.  Outstanding Work Orders or Orders to Comply.","Building Services, Tax, By-Law",general,public,2015-10-07,5.00,50.30,,,2015-11-09,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-192,192,"Latest version of the survey for a specified property, a calculation of the area for that property and building including the percentage of the property the building covers, and copy of floor plans showing the areas included in the square footage footprint of the house. ",Building Services ,general,public,2015-10-15,5.00,,,12.90,2015-11-09,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-196,196,Tax receipt for a specified amount on a specified property.  ,Tax Department,general,public,2015-10-22,5.00,7.90,,,2015-11-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-198,198,Name of Builder of a specified address.,Building Services,general,public,2015-10-27,5.00,,,15.20,2015-11-13,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-201,201,Copy of notes and reports from Fire Services with respect to a motor vehicle accident. ,Fire Services,general,public,2015-11-04,5.00,18.10,,,2015-11-16,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-194,194,Surveyor plans / documentation on permits that were not closed and documentation on plans that were not approved for a specified property. ,Building Services ,general,public,2015-10-19,5.00,,,27.00,2015-11-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-199,199,Copy of Ontario Works File ,Ontario Works ,personal,government,2015-10-23,,,,20.60,2015-11-18,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-195,195,I need a copy of specified affidavits by specified individuals as provided to a specified organization.  ,Legal Services,general,public,2015-10-21,5.00,,,,2015-11-19,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-211,211,Copies of any outside legal opinion requested by the Auditor General?s office in 2012 related to Greater Sudbury?s Healthy Community Initiative Funds ,Legal ,general,media,2015-11-17,5.00,,,,2015-11-19,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-205,205,Copy of Ontario Works File. ,Ontario Works ,personal,public,2015-11-02,,15.80,,,2015-11-20,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-202,202,"List of new fleet acquisition, and any GPS (Global Positioning System) software, that will be added to fleet from your capital budget.",Fleet,general,public,2015-10-27,5.00,45.20,,,2015-11-24,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-209,209,Information going back six years (2009) on any official complaints made in regards to noise or any other neighbor disputes against the owner or resident of a specified address. ,By-Law Enforcement ,general,public,2015-11-16,5.00,74.90,,,2015-11-24,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-203,203,"Building services file including and not limited to foundation / weeping tile inspections, footing inspections, framing inspections, HVAC inspections and the name of the inspector(s) for a specified property",Building Services,general,public,2015-11-09,5.00,25.00,,,2015-11-25,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-200,200,"Looking to obtain copies of all permits, inspections and documents relating to the addition constructed in 2011-2012 on a specified address.  Please include any and all documents/drawings from 2011 onwards to present date.",Building Services,general,public,2015-11-04,5.00,,,19.20,2015-11-30,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-207,207,"Regarding a specified address: looking for site assessment, environmental assessment and concerns about any chemicals used in December 2014 Fire.",Fire Services,general,public,2015-11-12,5.00,,,15.80,2015-11-30,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-210,210,Information of inspection report for a specified address conducted by a By-law Enforcement Officer in November 2015.,By-Law Enforcement ,general,public,2015-11-16,5.00,,,9.90,2015-11-30,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-217,217,"By-law notes re: issues with a specified individual concerning noise, specifically meeting with By-law Officer on a specified date",By-law ,general,public,2015-11-24,5.00,,,,2015-11-30,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-213,213,Unresolved fire code violations as of a specified date and a list of any deficiencies on file with Fire Services for a specified property.,Fire Services,general,public,2015-11-20,5.00,15.60,,,2015-12-03,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-215,215,"Records of any complaints from citizens from 1990 ? 2015, regarding pollutants in Nolin Creek, or pollutants/contaminated soil near the Sudbury Catholic District School Board property located at 199 Travers Street.  ","Communications, Environmental Services, Water/Wastewater, 3-1-1, Engineering",general,media,2015-11-23,5.00,106.40,,,2015-12-03,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-166,166,Ontario Works File.,Ontario Works,personal,public,2015-09-01,5.00,,,24.60,2015-12-08,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-206,206,Environmental Assessment for a specified address.,Environmental Assessment,general,public,2015-11-12,,,,,,
ocd-division/country:ca/csd:3553005,FOI2015-216,216,"History of a specified property ex. Building permits, plans, inspections",building services,general,public,2015-11-24,5.00,33.40,,,2015-12-09,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-208,208,All information accessible for a specified address.,Building Services,general,public,2015-11-16,5.00,,,68.30,2015-12-15,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-222,222,Retrofit information going back to the year 2000 for a specified address,Fire Services,general,public,2015-12-09,5.00,,,,2015-12-16,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-223,223,Retrofit information going back to the year 2000 for a specified address,Fire Services,general,public,2015-12-09,5.00,,,,2015-12-16,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-224,224,Retrofit information going back to the year 2000 for a specified address,Fire Services,general,public,2015-12-09,5.00,,,30.60,2015-12-16,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-204,204,Complete file of dog bite incident relating to a specified individual.,By-law,general,public,2015-11-05,5.00,,,63.70,2015-12-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-212,212,"All documents, including financial records, related to the I.J. Coady Memorial Arena in Levack from 2009. Including correspondence as well as revenue and expense reports for the arena, audits, and auditor?s reports. Any forensic audits. All documents related to employee dismissals including reports indicating why they were dismissed and their compensation packages ","Finance, Legal, Human Resources",general,media,2015-11-17,5.00,,,116.10,2015-12-17,
ocd-division/country:ca/csd:3553005,FOI2015-214,214,"I am requesting copies of all photos brought forward at the Standards Committee meeting, held on September 30, 2015, at 5�p.m., at City Hall. Some of these photos may have been submitted by a specified individual. Others may have been submitted by the City of Greater Sudbury By-Law Department Committee. Since a petition was filed during this meeting, I am also requesting copies from you. Could you also include the name of those who submitted the photos? For example, what person or which City employee took the photo? Please give their full name, such as Stephen Holt, Tina Romanysyn (who now goes by a different name since her recent marriage), Melissa Laalo, among others.","Planning, By-law",general,public,2015-11-18,5.00,,,43.90,2015-12-21,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-221,221,All addresses in Sudbury that have applied for pool permits since 1985.,Building Services,general,public,2015-12-02,,,,40.90,2015-12-21,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-225,225,1970-1978 Tax Billing copies or amounts for each year for a specified property,Tax,general,public,2015-12-09,5.00,,,243.20,2015-12-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-218,218,Require all info in regards to a specified property.,"By-law, Tax",general,public,2015-11-26,5.00,,,71.00,2015-12-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-219,219,"I would like access to all correspondence sent and received between Mayor Brian Bigger, Melissa Zanette and Chief Trevor Bain regarding the fire services department.  This could include emails, reports, notes and any other written documentation.  I would like to see all correspondence going back to May 2015.","Mayors Office, Fire Services",general,media,2015-11-30,5.00,,,108.20,2016-01-04,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-226,226,"City records regarding the maintenance/construction/work orders/flush records/City water report related to and around a specified property, including, but not limited to the particulars of the loss of about April 14th, 2014 (Period requested April 2009- May 2014).","Construction Services, Engineering Services, Water/Wastewater",general,public,2015-12-08,5.00,,,15.90,2016-01-05,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-227,227,Incident report from an injury at the Raymond Plourde Arena in Val Caron on a specified date.,"Legal Services, Leisure",general,public,2015-12-14,5.00,,,16.00,,
ocd-division/country:ca/csd:3553005,FOI2015-229,229,Fire Report for a specified property,Fire Services,general,public,2015-12-21,5.00,,,,,
ocd-division/country:ca/csd:3553005,FOI2015-230,230,Complete file records with respect to a specified property,Building Services,general,public,2015-12-23,5.00,,,,,
ocd-division/country:ca/csd:3553005,FOI2015-231,231,The following requests pertain to a specified property:  1) please pull all permits (open or closed) 2) please provide site plan (to scale) 3) please provide a list of variances (if any) 4) please provide any other documents pertaining to a construction history,Building Services,general,public,2015-12-31,5.00,,,,,
ocd-division/country:ca/csd:3553005,FOI2015-39,39,"A listing of City of Sudbury employees with the following information: Last name, first name, job title, office name main department, address, phone, fax, email (if published). ","HR, IT",general,business,2015-03-04,,,,,,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-42,42,A complete copy of all information and survey documents pertaining a specified property. ,,general,public,2015-03-03,,,,,,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-53,53,All emails from all staff of the Mayors office between August 1st 2012 and December 31st 2014 regarding an individual.,"Mayors office, IT",general,public,2015-03-26,5.00,,,,,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-72,72,"Looking for details of the owners of two specified properties and/or building permits.
",Building,general,public,2015-04-22,5.00,18.10,,,2016-05-06,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-88,88,Copy of the forensic audit that details the Sudbury Transit ticket scandal.,,general,media,2015-05-14,,,,,,abandoned
