division_id,identifier,position,abstract,classification,date_accepted,date
ocd-division/country:ca/csd:4811061,2012-0317,317,Patient Care Report,general,2012-10-15,2012-10-17
ocd-division/country:ca/csd:4811061,2012-0166,166,Fire investigation report,general,2012-06-08,2012-10-18
ocd-division/country:ca/csd:4811061,2012-0292,292,Estimated and final costs of the South LRT,general,2012-09-26,2012-10-18
ocd-division/country:ca/csd:4811061,2012-0315,315,Fire investigation report,general,2012-10-12,2012-10-18
ocd-division/country:ca/csd:4811061,2012-0320,320,Patient Care Report,general,2012-10-15,2012-10-18
ocd-division/country:ca/csd:4811061,2012-0322,322,Patient Care Report,general,2012-10-16,2012-10-19
ocd-division/country:ca/csd:4811061,2012-0299,299,Fire investigation report,general,2012-10-03,2012-10-20
ocd-division/country:ca/csd:4811061,2012-0293,293,Video tape of a motor vehicle accident ,general,2012-09-27,2012-10-22
ocd-division/country:ca/csd:4811061,2012-0222,222,Fire investigation report,general,2012-08-02,2012-10-23
ocd-division/country:ca/csd:4811061,2012-0309,309,Fire investigation report,general,2012-10-10,2012-10-23
ocd-division/country:ca/csd:4811061,2012-0319,319,Patient Care Report,general,2012-10-15,2012-10-23
ocd-division/country:ca/csd:4811061,2012-0283,283,Fire investigation report,general,2012-09-26,2012-10-24
ocd-division/country:ca/csd:4811061,2012-0294,294,Mayor's Office records relating to the City Centre Airport,general,2012-10-02,2012-10-24
ocd-division/country:ca/csd:4811061,2012-0295,295,Mayor's Office records relating to the City Centre Airport,general,2012-10-02,2012-10-24
ocd-division/country:ca/csd:4811061,2012-0296,296,Mayor's Office records relating to the City Centre Airport,general,2012-10-02,2012-10-24
ocd-division/country:ca/csd:4811061,2012-0311,311,Copy of petition,general,2012-10-10,2012-10-24
ocd-division/country:ca/csd:4811061,2012-0009-003,9,Records related to elephant,general,2012-04-15,2012-10-25
ocd-division/country:ca/csd:4811061,2012-0276,276,"Environmental contamination, clean up or remediation costs",general,2012-09-25,2012-10-25
ocd-division/country:ca/csd:4811061,2012-0278,278,"Environmental contamination, clean up or remediation costs",general,2012-09-25,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0280,280,Respectful Workplace Complaint Investigator's Report,general,2012-09-26,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0285,285,Fire investigation report,general,2012-09-26,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0291,291,"Estimated and final costs of the Terwillegar, Commonwealth, Clareview and Meadows Recreation Centres",general,2012-09-26,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0304,304,Patient Care Report,general,2012-10-04,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0331,331,Development permit applications,general,2012-10-24,2012-10-26
ocd-division/country:ca/csd:4811061,2012-0305,305,Property records,general,2012-10-09,2012-11-01
ocd-division/country:ca/csd:4811061,2012-0182,182,Professional Standards Unit file,personal,2012-06-28,2012-11-02
ocd-division/country:ca/csd:4811061,2012-0297,297,Copy of agreements,general,2012-10-03,2012-11-02
ocd-division/country:ca/csd:4811061,2012-0300,300,Drainage records,general,2012-10-03,2012-11-02
ocd-division/country:ca/csd:4811061,2012-0316,316,Fire investigation report,general,2012-10-15,2012-11-05
ocd-division/country:ca/csd:4811061,2012-0329,329,Patient Care Report,general,2012-10-22,2012-11-05
ocd-division/country:ca/csd:4811061,2012-0282,282,Fire investigation report,general,2012-09-26,2012-11-07
ocd-division/country:ca/csd:4811061,2012-0310,310,Fire investigation report ,general,2012-10-10,2012-11-07
ocd-division/country:ca/csd:4811061,2012-0314,314,Fire investigation report,general,2012-10-04,2012-11-07
ocd-division/country:ca/csd:4811061,2012-0341,341,Operator Report File,personal,2012-11-01,2012-11-08
ocd-division/country:ca/csd:4811061,2012-0318,318,Land agreement,general,2012-10-10,2012-11-09
ocd-division/country:ca/csd:4811061,2012-0288,288,ETS Transit user surveys,general,2012-09-27,2012-11-13
ocd-division/country:ca/csd:4811061,2012-0321,321,Secondary suite grant program,general,2012-10-15,2012-11-13
ocd-division/country:ca/csd:4811061,2012-0326,326,Drainage issues,general,2012-10-19,2012-11-13
ocd-division/country:ca/csd:4811061,2012-0226,226,Fire investigation report,general,2012-08-10,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0231,231,Fire investigation report,general,2012-08-15,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0281,281,Fire investigation report,general,2012-09-26,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0335,335,Dog bite report,general,2012-10-26,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0339,339,Parking infractions ,general,2012-10-30,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0342,342,Fire investigation report,general,2012-11-05,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0350,350,Patient Care Report ,general,2012-11-20,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0351,351,Patient Care Report ,general,2012-11-20,2012-11-21
ocd-division/country:ca/csd:4811061,2012-0194,194,Construction claims & payments re: LRT,general,2012-07-10,2012-11-22
ocd-division/country:ca/csd:4811061,2012-0323,323,Fire investigation report,general,2012-10-10,2012-11-23
ocd-division/country:ca/csd:4811061,2012-0354,354,Property records,,2012-11-19,2012-11-23
ocd-division/country:ca/csd:4811061,2012-0356,356,Dog licensing information and previous incidents,general,2012-11-22,2012-11-23
ocd-division/country:ca/csd:4811061,2012-0357,357,Fire investigation report,general,2012-11-22,2012-11-23
ocd-division/country:ca/csd:4811061,2012-0325,325,Patient Care Report,general,2012-10-19,2012-11-26
ocd-division/country:ca/csd:4811061,2012-0334,334,Accommodation Planning report,general,2012-10-25,2012-11-26
ocd-division/country:ca/csd:4811061,2012-0338,338,Lot grading,general,2012-10-31,2012-11-26
ocd-division/country:ca/csd:4811061,2012-0346,346,Fire investigation report ,general,2012-11-09,2012-11-26
ocd-division/country:ca/csd:4811061,2012-0352,352,Patient Care Report ,general,2012-11-20,2012-11-26
ocd-division/country:ca/csd:4811061,2012-0344,344,Request for proposal records,general,2012-10-31,2012-11-27
ocd-division/country:ca/csd:4811061,2012-0340,340,Drainage records,general,2012-10-31,2012-11-28
ocd-division/country:ca/csd:4811061,2012-0327,327,Fire investigation report,general,2012-10-19,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0353,353,Expropriation records,,2012-11-19,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0361,361,Patient Care Report,general,2012-11-22,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0362,362,Fire investigation report,general,2012-11-23,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0365,365,Drainage records,general,2012-11-26,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0366,366,Patient Care Report,general,2012-11-12,2012-11-29
ocd-division/country:ca/csd:4811061,2012-0009-004,9,Records related to elephant,general,2012-05-10,2012-11-30
ocd-division/country:ca/csd:4811061,2012-0286,286,Fire investigation report,general,2012-09-26,2012-11-30
ocd-division/country:ca/csd:4811061,2012-0275,275,"Environmental contamination, clean up or remediation costs",general,2012-09-25,2012-12-03
ocd-division/country:ca/csd:4811061,2012-0343,343,Fire investigation report,general,2012-11-05,2012-12-03
ocd-division/country:ca/csd:4811061,2012-0277,277,"Environmental contamination, clean up or remediation costs",general,2012-09-25,2012-12-04
ocd-division/country:ca/csd:4811061,2012-0330,330,Fire investigation report,general,2012-10-22,2012-12-04
ocd-division/country:ca/csd:4811061,2012-0332,332,Fire investigation report,general,2012-10-24,2012-12-04
ocd-division/country:ca/csd:4811061,2012-0360,360,Fire investigation report,general,2012-11-06,2012-12-04
ocd-division/country:ca/csd:4811061,2012-0370,370,Fire investigation report,general,2012-12-04,2012-12-06
ocd-division/country:ca/csd:4811061,2012-0347,347,Investigation Report ,general,2012-11-16,2012-12-07
ocd-division/country:ca/csd:4811061,2012-0373,373,Personal records,personal,2012-12-06,2012-12-07
ocd-division/country:ca/csd:4811061,2012-0380,380,Patient Care Report,general,2012-12-10,2012-12-10
ocd-division/country:ca/csd:4811061,2012-0279,279,"Environmental contamination, clean up or remediation costs",general,2012-09-25,2012-12-11
ocd-division/country:ca/csd:4811061,2012-0369,369,Fire investigation report,general,2012-12-03,2012-12-11
ocd-division/country:ca/csd:4811061,2012-0372,372,Fire investigation report,general,2012-12-06,2012-12-11
ocd-division/country:ca/csd:4811061,2012-0371,371,Patient care report,general,2012-12-04,2012-12-13
ocd-division/country:ca/csd:4811061,2012-0386,386,Patient Care Report,,2012-12-12,2012-12-13
ocd-division/country:ca/csd:4811061,2012-0337,337,Fire investigation report ,general,2012-10-29,2012-12-14
ocd-division/country:ca/csd:4811061,2012-0385,385,Fire investigation report,general,2012-12-14,2012-12-14
ocd-division/country:ca/csd:4811061,2012-0324,324,Consultant contract,general,2012-10-25,2012-12-17
ocd-division/country:ca/csd:4811061,2012-0349,349,Accident report ,general,2012-11-20,2012-12-17
ocd-division/country:ca/csd:4811061,2012-0238,238,Fire investigation report,general,2012-08-17,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0254,254,"Request for Proposals submitted for 921001, Smart Bus Initiative",general,2012-08-27,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0260,260,Google agreement,general,2012-09-11,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0313,313,Tender for the construction of the 30 Avenue SW bridge and 111 Street bridge removal,general,2012-10-11,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0333,333,Fire investigation report ,general,2012-10-24,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0336,336,Fire investigation report,general,2012-10-29,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0384,384,Fire investigation report ,general,2012-12-12,2012-12-18
ocd-division/country:ca/csd:4811061,2012-0374,374,Emergency call records,general,2012-12-06,2012-12-19
ocd-division/country:ca/csd:4811061,2012-0375,375,Tender results bridge construction & removal,general,2012-12-06,2012-12-19
ocd-division/country:ca/csd:4811061,2012-0382,382,Tender and bid records,general,2012-12-10,2012-12-19
ocd-division/country:ca/csd:4811061,2012-0376,376,Video footage,general,2012-12-06,2012-12-21
ocd-division/country:ca/csd:4811061,2012-0383,383,Fire investigation report,general,2012-12-13,2012-12-21
ocd-division/country:ca/csd:4811061,2012-0387,387,Cost of lawyers employed by the City ,general,2012-12-14,2012-12-21
ocd-division/country:ca/csd:4811061,2012-0389,389,Dog bite report ,general,2012-12-18,2013-01-02
ocd-division/country:ca/csd:4811061,2012-0378,378,Fire investigation report,general,2012-12-07,2013-01-04
ocd-division/country:ca/csd:4811061,2012-0255,255,Employment records ,general,2012-09-05,2013-01-09
ocd-division/country:ca/csd:4811061,2013-0003,3,Unclaimed cheques,general,2013-01-07,2013-01-10
ocd-division/country:ca/csd:4811061,2012-0063-004,63,All records regarding apartment building,general,2013-01-01,2013-01-14
ocd-division/country:ca/csd:4811061,2012-0355,355,Dog bite report,general,2012-11-21,2013-01-15
ocd-division/country:ca/csd:4811061,2013-0009,9,Fatality Investigation,general,2013-01-15,2013-01-16
ocd-division/country:ca/csd:4811061,2013-0011,11,Patient Care Report,general,2013-01-15,2013-01-16
ocd-division/country:ca/csd:4811061,2013-0005,5,Fire investigation report,general,2013-01-10,2013-01-17
ocd-division/country:ca/csd:4811061,2013-0014,14,Animal Control Report,general,2013-01-17,2013-01-17
ocd-division/country:ca/csd:4811061,2013-0008,8,Fire investigation report,general,2013-01-11,2013-01-18
ocd-division/country:ca/csd:4811061,2013-0012,12,Fire investigation report,general,2013-01-16,2013-01-18
ocd-division/country:ca/csd:4811061,2013-0013,13,Fire investigation report,general,2013-01-16,2013-01-18
ocd-division/country:ca/csd:4811061,2012-0390,390,Fire investigation report ,general,2012-12-20,2013-01-19
ocd-division/country:ca/csd:4811061,2012-0393,393,Personal information of a named individual,personal,2012-12-21,2013-01-20
ocd-division/country:ca/csd:4811061,2012-0328,328,Rossdale Fire Station ,general,2012-10-17,2013-01-22
ocd-division/country:ca/csd:4811061,2013-0010,10,Patient Care Report,general,2013-01-15,2013-01-22
ocd-division/country:ca/csd:4811061,2013-0018,18,Fire investigation report,general,2013-01-21,2013-01-22
ocd-division/country:ca/csd:4811061,2012-0348,348,Fire investigation report,general,2012-11-16,2013-01-23
ocd-division/country:ca/csd:4811061,2013-0001,1,Dog bite report,general,2013-01-02,2013-01-23
ocd-division/country:ca/csd:4811061,2013-0020,20,Consult on low hazard fireworks,,2013-01-24,2013-01-25
ocd-division/country:ca/csd:4811061,2013-0034,34,Privacy complaint,,2013-02-06,2013-01-28
ocd-division/country:ca/csd:4811061,2013-0019,19,Fire investigation report,general,2013-01-22,2013-01-29
ocd-division/country:ca/csd:4811061,2013-0024,24,Patient Care Report,general,2013-01-29,2013-01-30
ocd-division/country:ca/csd:4811061,2013-0025,25,Patient Care Report,general,2013-01-29,2013-01-30
ocd-division/country:ca/csd:4811061,2013-0026,26,Fire investigation report,general,2013-01-30,2013-01-30
ocd-division/country:ca/csd:4811061,2013-0029,29,Donation agreements ,,2013-01-31,2013-01-31
ocd-division/country:ca/csd:4811061,2013-0022,22,Fire investigation report,general,2013-01-29,2013-02-01
ocd-division/country:ca/csd:4811061,2013-0023,23,Fire investigation report,general,2013-01-29,2013-02-01
ocd-division/country:ca/csd:4811061,2013-0004,4,Records of tender # 923469,general,2013-01-08,2013-02-05
ocd-division/country:ca/csd:4811061,2012-0388,388,Complaints for a residential address ,general,2012-12-17,2013-02-07
ocd-division/country:ca/csd:4811061,2013-0015,15,Event Information,general,2013-01-17,2013-02-07
ocd-division/country:ca/csd:4811061,2013-0032,32,Patient Care Report,general,2013-02-05,2013-02-07
ocd-division/country:ca/csd:4811061,2012-0363,363,Employee file,general,2012-11-20,2013-02-11
ocd-division/country:ca/csd:4811061,2012-0364,364,Employee file,general,2012-11-20,2013-02-11
ocd-division/country:ca/csd:4811061,2013-0006,6,Property complaints,general,2013-01-10,2013-02-11
ocd-division/country:ca/csd:4811061,2013-0048,48,Patient Care Report,general,2013-02-14,2013-02-13
ocd-division/country:ca/csd:4811061,2012-0009-005,9,Records related to elephant,general,2012-05-10,2013-02-14
ocd-division/country:ca/csd:4811061,2012-0379,379,Request for Expressions of Interest for Corporate Accommodation,general,2012-12-10,2013-02-14
ocd-division/country:ca/csd:4811061,2013-0007,7,Personal file,personal,2013-01-10,2013-02-14
ocd-division/country:ca/csd:4811061,2013-0027,27,Video Surveillance,general,2013-01-31,2013-02-14
ocd-division/country:ca/csd:4811061,2012-0232,232,Fire investigation report,general,2012-08-17,2013-02-15
ocd-division/country:ca/csd:4811061,2013-0016,16,Records regarding airport taxi services ,general,2013-01-17,2013-02-15
ocd-division/country:ca/csd:4811061,2013-0046,46,Consult regarding an injury of a named individual,,2013-02-14,2013-02-15
ocd-division/country:ca/csd:4811061,2013-0068,68,Fire investigation report,general,2013-02-07,2013-02-15
ocd-division/country:ca/csd:4811061,2013-0031,31,Information on 311 ticket,general,2013-02-05,2013-02-19
ocd-division/country:ca/csd:4811061,2013-0017,17,Personal information of named individual,personal,2013-01-21,2013-02-20
ocd-division/country:ca/csd:4811061,2013-0047,47,Property records,general,2013-02-14,2013-02-21
ocd-division/country:ca/csd:4811061,2012-0345,345,Dog bite report ,general,2012-11-08,2013-02-26
ocd-division/country:ca/csd:4811061,2013-0038,38,Fire investigation report,general,2013-02-12,2013-02-26
ocd-division/country:ca/csd:4811061,2013-0062,62,Patient Care Report,general,2013-02-26,2013-02-27
ocd-division/country:ca/csd:4811061,2013-0063,63,Patient Care Report,general,2013-02-26,2013-02-27
ocd-division/country:ca/csd:4811061,2013-0030,30,Escort records of a named individual,general,2013-02-01,2013-03-01
ocd-division/country:ca/csd:4811061,2013-0050,50,Dog bite report,general,2013-02-20,2013-03-01
ocd-division/country:ca/csd:4811061,2013-0099,99,Privacy complaint re: E-reg,,2013-04-04,2013-03-03
ocd-division/country:ca/csd:4811061,2013-0267,267,Fire investigation report,general,2013-10-04,2013-03-04
ocd-division/country:ca/csd:4811061,2012-0392,392,Information on tender #921486,general,2012-12-21,2013-03-05
ocd-division/country:ca/csd:4811061,2013-0035,35,Name submissions for the 5 new LRT lines,general,2013-02-06,2013-03-05
ocd-division/country:ca/csd:4811061,2013-0039,39,Employee service commendations,personal,2013-02-12,2013-03-05
ocd-division/country:ca/csd:4811061,2013-0040,40,Information on tender #921486,general,2013-02-07,2013-03-05
ocd-division/country:ca/csd:4811061,2012-0257,257,Workspace Edmonton Privacy Impact Assessment,,2012-09-07,2013-03-06
ocd-division/country:ca/csd:4811061,2013-0064,64,Fire investigation report,general,2013-03-04,2013-03-06
ocd-division/country:ca/csd:4811061,2013-0069,69,Municipal Sustainability Initiative funding for downtown arena,,2013-03-05,2013-03-07
ocd-division/country:ca/csd:4811061,2013-0028,28,Downtown arena and consultants reports,general,2013-01-31,2013-03-08
ocd-division/country:ca/csd:4811061,2013-0002,2,"Final contract to RFP 921001, Smart Bus Initiative",general,2013-01-04,2013-03-11
ocd-division/country:ca/csd:4811061,2013-0249,249,Photo radar tender submission,general,2013-09-06,2013-03-11
ocd-division/country:ca/csd:4811061,2013-0042,42,Personnel file,general,2013-02-13,2013-03-12
ocd-division/country:ca/csd:4811061,2013-0074,74,Property information,,2013-03-08,2013-03-13
ocd-division/country:ca/csd:4811061,2013-0065,65,Emails between employees regarding Alberta Cycle building,general,2013-03-04,2013-03-14
ocd-division/country:ca/csd:4811061,2013-0067,67,Waste and recycling collection services to Edmonton School District No 7,,2013-03-05,2013-03-15
ocd-division/country:ca/csd:4811061,2013-0082,82,Property records,,2013-03-14,2013-03-15
ocd-division/country:ca/csd:4811061,2013-0083,83,Use of Municipal Sustainability Initiative funds for arena project,,2013-03-14,2013-03-15
ocd-division/country:ca/csd:4811061,2013-0051,51,Fire investigation report,general,2013-02-20,2013-03-18
ocd-division/country:ca/csd:4811061,2012-0253,253,Fire Rescue records,general,2012-09-04,2013-03-19
ocd-division/country:ca/csd:4811061,2013-0090,90,Fire Rescue response to the Big Valley Jamboree stage collapse,general,2013-03-12,2013-03-19
ocd-division/country:ca/csd:4811061,2013-0072,72,Records given to Edmonton Transit from EPS,general,2013-03-07,2013-03-21
ocd-division/country:ca/csd:4811061,2013-0086,86,Emails regarding an employee,general,2013-03-15,2013-03-21
ocd-division/country:ca/csd:4811061,2012-0270,270,"All records filed by, recorded by or attributed to Councillor Krushell",general,2012-09-19,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0271,271,"All records filed by, recorded by or attributed to Councillor Anderson",general,2012-09-19,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0272,272,"All records filed by, recorded by or attributed to Councillor Sloan",general,2012-09-19,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0273,273,"All records filed by, recorded by or attributed to Councillor Loken",general,2012-09-19,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0274,274,"All records filed by, recorded by or attributed to Mayor Mandel",general,2012-09-19,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0367,367,Federation of Canadian Municipalities Convention expenses,general,2012-11-29,2013-03-22
ocd-division/country:ca/csd:4811061,2012-0368,368,Councillor expenses,general,2012-11-29,2013-03-22
ocd-division/country:ca/csd:4811061,2013-0044,44,Personnel file,general,2013-02-13,2013-03-22
ocd-division/country:ca/csd:4811061,2013-0061,61,Patient Care Report,general,2013-02-26,2013-03-25
ocd-division/country:ca/csd:4811061,2013-0041,41,Personnel file,general,2013-02-13,2013-03-26
ocd-division/country:ca/csd:4811061,2013-0091,91,Dog bite report,general,2013-03-20,2013-03-26
ocd-division/country:ca/csd:4811061,2013-0088,88,Environmental site assessment,general,2013-03-21,2013-03-27
ocd-division/country:ca/csd:4811061,2013-0092,92,Patient Care Report,general,2013-03-21,2013-04-04
ocd-division/country:ca/csd:4811061,2013-0097,97,Information on 311 call,general,2013-04-04,2013-04-04
ocd-division/country:ca/csd:4811061,2013-0043,43,Personnel file,general,2013-02-13,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0045,45,Personnel file,general,2013-02-13,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0054,54,"How personal information is collected, stored and used",personal,2013-02-21,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0071,71,Transit event records,general,2013-03-07,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0076,76,Bus camera video,general,2013-03-11,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0080,80,Drainage and waste records,general,2013-03-13,2013-04-05
ocd-division/country:ca/csd:4811061,2013-0081,81,Drainage and waste records,general,2013-03-13,2013-04-05
ocd-division/country:ca/csd:4811061,2012-0063-005,63,All records regarding apartment building,general,2013-04-01,2013-04-08
ocd-division/country:ca/csd:4811061,2013-0084,84,Environmental report,general,2013-03-14,2013-04-08
ocd-division/country:ca/csd:4811061,2013-0085,85,Environmental report ,general,2013-03-15,2013-04-09
ocd-division/country:ca/csd:4811061,2013-0098,98,Patient Care Report,general,2013-04-04,2013-04-09
ocd-division/country:ca/csd:4811061,2013-0100,100,Property & environmental reports,general,2013-04-09,2013-04-09
ocd-division/country:ca/csd:4811061,2013-0102,102,Fire investigation report,general,2013-04-09,2013-04-10
ocd-division/country:ca/csd:4811061,2013-0094,94,Fire investigation report,general,2013-04-02,2013-04-11
ocd-division/country:ca/csd:4811061,2013-0033,33,Information regarding the City Wide Food and Agriculture Strategy,general,2013-02-05,2013-04-12
ocd-division/country:ca/csd:4811061,2013-0060,60,Personnel file,general,2013-02-22,2013-04-12
ocd-division/country:ca/csd:4811061,2013-0058,58,Rossdale Flats future redevelopment,general,2013-02-19,2013-04-15
ocd-division/country:ca/csd:4811061,2013-0093,93,Fire investigation report ,general,2013-04-02,2013-04-15
ocd-division/country:ca/csd:4811061,2013-0104,104,Patient Care Report,general,2013-04-09,2013-04-15
ocd-division/country:ca/csd:4811061,2013-0106,106,Patient Care Report,general,2013-04-10,2013-04-15
ocd-division/country:ca/csd:4811061,2013-0056,56,"How personal information is collected, stored and used",personal,2013-02-21,2013-04-16
ocd-division/country:ca/csd:4811061,2013-0059,59,Walterdale Bridge reconstruction & consultation with Aboriginal Communities,general,2013-02-19,2013-04-16
ocd-division/country:ca/csd:4811061,2013-0070,70,Google,,2013-03-07,
ocd-division/country:ca/csd:4811061,2013-0105,105,Patient Care Report,general,2013-04-09,2013-04-16
ocd-division/country:ca/csd:4811061,2013-0089,89,Employee file,general,2013-03-21,2013-04-18
ocd-division/country:ca/csd:4811061,2013-0052,52,"How personal information is collected, stored and used",personal,2013-02-21,2013-04-21
ocd-division/country:ca/csd:4811061,2012-0306,306,Costs to redevelop the City Centre Airport,general,2012-10-09,2013-04-22
ocd-division/country:ca/csd:4811061,2012-0307,307,Costs to redevelop the City Centre Airport,general,2012-10-09,2013-04-22
ocd-division/country:ca/csd:4811061,2013-0037,37,All communication between an employee and a business,general,2013-02-12,2013-04-22
ocd-division/country:ca/csd:4811061,2013-0087,87,Personal information of named individual,personal,2013-03-21,2013-04-22
ocd-division/country:ca/csd:4811061,2013-0108,108,Animal control report,general,2013-04-16,2013-04-22
ocd-division/country:ca/csd:4811061,2013-0109,109,Patient Care Report,general,2013-04-17,2013-04-23
ocd-division/country:ca/csd:4811061,2013-0111,111,Animal Control Report,general,2013-04-23,2013-04-24
ocd-division/country:ca/csd:4811061,2013-0115,115,Patient Care Report,general,2013-04-24,2013-04-25
ocd-division/country:ca/csd:4811061,2013-0021,21,Employment records ,general,2013-01-25,2013-04-26
ocd-division/country:ca/csd:4811061,2013-0107,107,Bylaw enforcement,general,2013-04-12,2013-04-29
ocd-division/country:ca/csd:4811061,2013-0112,112,Fire investigation report,general,2013-04-23,2013-04-29
ocd-division/country:ca/csd:4811061,2013-0057,57,Personnel file,general,2013-02-21,2013-05-02
ocd-division/country:ca/csd:4811061,2013-0078,78,76 Avenue bike lanes,general,2013-03-11,2013-05-02
ocd-division/country:ca/csd:4811061,2013-0079,79,Employee file,general,2013-03-12,2013-05-05
ocd-division/country:ca/csd:4811061,2013-0103,103,Income/expense information of Valley Zoo relating to elephant,general,2013-04-09,2013-05-07
ocd-division/country:ca/csd:4811061,2013-0066,66,Personnel file,general,2013-03-05,2013-05-10
ocd-division/country:ca/csd:4811061,2013-0118,118,Flooding records,general,2013-04-26,2013-05-10
ocd-division/country:ca/csd:4811061,2013-0077,77,Employment records ,general,2013-03-11,2013-05-13
ocd-division/country:ca/csd:4811061,2013-0126,126,Fire investigation report,general,2013-05-08,2013-05-14
ocd-division/country:ca/csd:4811061,2013-0130,130,Property records,general,2013-05-09,2013-05-14
ocd-division/country:ca/csd:4811061,2013-0113,113,Fire investigation report,general,2013-04-23,2013-05-15
ocd-division/country:ca/csd:4811061,2013-0125,125,Emails regarding Canada Day,,2013-05-08,2013-05-15
ocd-division/country:ca/csd:4811061,2013-0075,75,Employment records ,general,2013-03-11,2013-05-16
ocd-division/country:ca/csd:4811061,2013-0116,116,Personnel file,general,2013-04-25,2013-05-16
ocd-division/country:ca/csd:4811061,2013-0117,117,Short term disability file,general,2013-04-25,2013-05-16
ocd-division/country:ca/csd:4811061,2013-0053,53,"How personal information is collected, stored and used",personal,2013-02-21,2013-05-17
ocd-division/country:ca/csd:4811061,2013-0055,55,"How personal information is collected, stored and used",personal,2013-02-21,2013-05-17
ocd-division/country:ca/csd:4811061,2013-0128,128,Employee file,personal,2013-05-09,2013-05-17
ocd-division/country:ca/csd:4811061,2013-0120,120,Animal Control report,general,2013-04-29,2013-05-27
ocd-division/country:ca/csd:4811061,2013-0138,138,Patient Care Report,general,2013-05-22,2013-05-29
ocd-division/country:ca/csd:4811061,2012-0381,381,Veterinary examinations of elephant,general,2012-12-11,2013-05-30
ocd-division/country:ca/csd:4811061,2013-0123,123,Land value and environmental clean up costs,general,2013-05-03,2013-05-30
ocd-division/country:ca/csd:4811061,2013-0127,127,Patient Care Report,general,2013-05-08,2013-05-30
ocd-division/country:ca/csd:4811061,2013-0132,132,Patient Care Report,general,2013-05-14,2013-05-30
ocd-division/country:ca/csd:4811061,2013-0096,96,Employee File ,general,2013-04-03,2013-05-31
ocd-division/country:ca/csd:4811061,2013-0131,131,Employee file ,personal,2013-05-10,2013-05-31
ocd-division/country:ca/csd:4811061,2013-0049,49,Traffic tickets issued ,general,2013-02-14,2013-06-04
ocd-division/country:ca/csd:4811061,2013-0101,101,Employee file,personal,2013-04-09,2013-06-04
ocd-division/country:ca/csd:4811061,2013-0124,124,Land value and environmental clean up costs,general,2013-05-08,2013-06-07
ocd-division/country:ca/csd:4811061,2013-0152,152,Daily supervisor report ,personal,2013-06-07,2013-06-10
ocd-division/country:ca/csd:4811061,2013-0121,121,File on grant,general,2013-05-01,2013-06-11
ocd-division/country:ca/csd:4811061,2013-0133,133,Patient Care Report,general,2013-05-14,2013-06-11
ocd-division/country:ca/csd:4811061,2013-0135,135,Employee & Disability files,personal,2013-05-15,2013-06-13
ocd-division/country:ca/csd:4811061,2012-0009-006,9,Records related to elephant,general,2013-05-15,2013-06-14
ocd-division/country:ca/csd:4811061,2012-0358,358,Review of 2012-G-0294,,2012-11-22,2013-06-17
ocd-division/country:ca/csd:4811061,2012-0359,359,Review of 2012-G-0295,,2012-11-22,2013-06-17
ocd-division/country:ca/csd:4811061,2013-0114,114,Personal records of a named individual,personal,2013-04-23,2013-06-17
ocd-division/country:ca/csd:4811061,2013-0136,136,Attendance records & evaluations,general,2013-05-17,2013-06-17
ocd-division/country:ca/csd:4811061,2013-0148,148,Review of 2013-P-0087,,2013-05-15,2013-06-17
ocd-division/country:ca/csd:4811061,2013-0139,139,Fire investigation report,general,2013-05-22,2013-06-18
ocd-division/country:ca/csd:4811061,2013-0140,140,Fire investigation report,general,2013-05-23,2013-06-18
ocd-division/country:ca/csd:4811061,2013-0144,144,Property records,general,2013-05-27,2013-06-18
ocd-division/country:ca/csd:4811061,2013-0159,159,City trails,,2013-06-10,2013-06-18
